epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.395,0.278,0.130,0.078,"[0.075, 0.207, 0.044, 0.272, 0.055, 0.148, 0.172, 0.105, 0.124, 0.101]"
01,0.257,0.240,0.120,0.071,"[0.062, 0.158, 0.044, 0.206, 0.055, 0.138, 0.216, 0.116, 0.108, 0.101]"
02,0.226,0.219,0.109,0.063,"[0.065, 0.15, 0.042, 0.193, 0.052, 0.132, 0.166, 0.094, 0.104, 0.09]"
03,0.215,0.220,0.110,0.065,"[0.058, 0.162, 0.036, 0.215, 0.05, 0.129, 0.166, 0.1, 0.104, 0.084]"
04,0.213,0.217,0.107,0.064,"[0.057, 0.149, 0.034, 0.198, 0.05, 0.13, 0.173, 0.093, 0.104, 0.084]"
05,0.212,0.228,0.115,0.069,"[0.058, 0.15, 0.035, 0.235, 0.049, 0.132, 0.216, 0.09, 0.101, 0.082]"
06,0.211,0.218,0.105,0.063,"[0.057, 0.153, 0.034, 0.194, 0.046, 0.132, 0.164, 0.091, 0.1, 0.083]"
07,0.209,0.215,0.103,0.062,"[0.056, 0.144, 0.033, 0.189, 0.045, 0.126, 0.164, 0.091, 0.101, 0.078]"
08,0.206,0.215,0.104,0.062,"[0.055, 0.142, 0.034, 0.191, 0.046, 0.126, 0.167, 0.093, 0.103, 0.079]"
09,0.208,0.219,0.106,0.063,"[0.056, 0.142, 0.031, 0.197, 0.045, 0.129, 0.184, 0.095, 0.101, 0.078]"
10,0.211,0.215,0.102,0.061,"[0.055, 0.141, 0.032, 0.189, 0.045, 0.127, 0.165, 0.091, 0.101, 0.076]"
11,0.206,0.217,0.105,0.062,"[0.056, 0.144, 0.032, 0.2, 0.045, 0.125, 0.172, 0.091, 0.102, 0.077]"
12,0.205,0.216,0.103,0.061,"[0.055, 0.144, 0.031, 0.192, 0.045, 0.128, 0.164, 0.092, 0.101, 0.076]"
13,0.204,0.216,0.103,0.061,"[0.055, 0.145, 0.031, 0.192, 0.044, 0.127, 0.164, 0.091, 0.101, 0.076]"
14,0.202,0.217,0.104,0.060,"[0.055, 0.144, 0.032, 0.19, 0.045, 0.131, 0.17, 0.098, 0.1, 0.076]"
15,0.204,0.215,0.102,0.059,"[0.055, 0.14, 0.032, 0.189, 0.044, 0.126, 0.165, 0.091, 0.103, 0.075]"
16,0.203,0.216,0.103,0.061,"[0.065, 0.145, 0.032, 0.188, 0.045, 0.126, 0.164, 0.092, 0.1, 0.075]"
17,0.204,0.216,0.103,0.061,"[0.056, 0.148, 0.031, 0.193, 0.045, 0.126, 0.165, 0.092, 0.1, 0.075]"
18,0.204,0.218,0.104,0.060,"[0.055, 0.144, 0.03, 0.191, 0.046, 0.128, 0.179, 0.092, 0.103, 0.076]"
