epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.384,0.346,0.131,0.069,"[0.1, 0.168, 0.044, 0.247, 0.055, 0.144, 0.213, 0.106, 0.133, 0.101]"
01,0.301,0.268,0.118,0.067,"[0.059, 0.147, 0.044, 0.208, 0.055, 0.151, 0.216, 0.122, 0.1, 0.083]"
02,0.250,0.231,0.104,0.061,"[0.058, 0.13, 0.044, 0.183, 0.048, 0.128, 0.168, 0.106, 0.103, 0.075]"
03,0.222,0.222,0.106,0.059,"[0.06, 0.133, 0.09, 0.179, 0.046, 0.123, 0.17, 0.091, 0.098, 0.072]"
04,0.215,0.217,0.100,0.059,"[0.052, 0.133, 0.037, 0.189, 0.04, 0.121, 0.172, 0.092, 0.1, 0.068]"
05,0.217,0.222,0.106,0.063,"[0.053, 0.161, 0.034, 0.227, 0.04, 0.123, 0.17, 0.089, 0.099, 0.067]"
06,0.217,0.213,0.098,0.058,"[0.052, 0.132, 0.032, 0.187, 0.04, 0.123, 0.156, 0.091, 0.101, 0.067]"
07,0.212,0.213,0.097,0.057,"[0.051, 0.13, 0.031, 0.187, 0.04, 0.12, 0.16, 0.088, 0.098, 0.067]"
08,0.212,0.212,0.096,0.056,"[0.05, 0.134, 0.031, 0.177, 0.041, 0.122, 0.157, 0.086, 0.097, 0.066]"
09,0.214,0.223,0.103,0.061,"[0.053, 0.146, 0.029, 0.227, 0.039, 0.12, 0.164, 0.089, 0.097, 0.066]"
10,0.214,0.213,0.095,0.056,"[0.052, 0.129, 0.029, 0.178, 0.039, 0.121, 0.154, 0.086, 0.096, 0.067]"
11,0.211,0.212,0.097,0.057,"[0.053, 0.14, 0.03, 0.181, 0.04, 0.12, 0.154, 0.088, 0.097, 0.066]"
12,0.213,0.221,0.104,0.061,"[0.054, 0.13, 0.028, 0.206, 0.039, 0.125, 0.201, 0.091, 0.096, 0.066]"
13,0.213,0.212,0.094,0.056,"[0.053, 0.125, 0.029, 0.173, 0.039, 0.121, 0.156, 0.086, 0.097, 0.065]"
14,0.209,0.211,0.095,0.056,"[0.051, 0.128, 0.031, 0.174, 0.039, 0.126, 0.154, 0.088, 0.098, 0.065]"
15,0.208,0.211,0.095,0.057,"[0.052, 0.125, 0.029, 0.178, 0.039, 0.12, 0.156, 0.086, 0.098, 0.066]"
16,0.209,0.212,0.096,0.057,"[0.052, 0.131, 0.028, 0.185, 0.039, 0.12, 0.16, 0.086, 0.101, 0.063]"
17,0.209,0.210,0.095,0.056,"[0.051, 0.126, 0.029, 0.172, 0.039, 0.124, 0.155, 0.088, 0.102, 0.064]"
18,0.208,0.211,0.096,0.057,"[0.052, 0.125, 0.028, 0.177, 0.039, 0.123, 0.155, 0.091, 0.101, 0.065]"
19,0.208,0.212,0.095,0.057,"[0.052, 0.137, 0.028, 0.172, 0.039, 0.123, 0.156, 0.086, 0.098, 0.065]"
20,0.210,0.215,0.098,0.057,"[0.051, 0.138, 0.03, 0.174, 0.04, 0.129, 0.155, 0.097, 0.096, 0.067]"
21,0.209,0.210,0.095,0.056,"[0.051, 0.124, 0.027, 0.172, 0.039, 0.121, 0.157, 0.094, 0.103, 0.065]"
22,0.210,0.215,0.098,0.058,"[0.059, 0.124, 0.028, 0.185, 0.039, 0.12, 0.155, 0.091, 0.112, 0.066]"
23,0.209,0.211,0.096,0.057,"[0.053, 0.126, 0.028, 0.181, 0.039, 0.12, 0.16, 0.087, 0.1, 0.064]"
24,0.208,0.213,0.096,0.057,"[0.054, 0.136, 0.028, 0.176, 0.04, 0.126, 0.154, 0.086, 0.096, 0.065]"
25,0.210,0.211,0.095,0.056,"[0.053, 0.127, 0.028, 0.172, 0.039, 0.12, 0.154, 0.086, 0.099, 0.067]"
26,0.209,0.211,0.094,0.056,"[0.056, 0.124, 0.028, 0.172, 0.041, 0.122, 0.154, 0.086, 0.097, 0.064]"
27,0.209,0.213,0.097,0.057,"[0.053, 0.126, 0.028, 0.177, 0.041, 0.129, 0.157, 0.092, 0.1, 0.064]"
28,0.209,0.212,0.096,0.056,"[0.052, 0.125, 0.028, 0.175, 0.039, 0.128, 0.162, 0.09, 0.096, 0.064]"
29,0.209,0.214,0.097,0.058,"[0.052, 0.128, 0.028, 0.175, 0.04, 0.121, 0.169, 0.093, 0.098, 0.066]"
30,0.208,0.212,0.095,0.057,"[0.051, 0.125, 0.028, 0.181, 0.039, 0.12, 0.157, 0.088, 0.098, 0.065]"
