epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.640,1.747,0.320,0.857,0.320,0.304,0.276,"[0.272, 0.539, 0.63, 0.29, 0.093, 0.418, 0.041, 0.456, 0.09, 0.214]"
01,1.400,1.581,0.432,0.932,0.432,0.394,0.420,"[0.312, 0.439, 0.7, 0.587, 0.122, 0.459, 0.257, 0.499, 0.212, 0.355]"
02,1.333,1.594,0.410,0.902,0.410,0.370,0.398,"[0.278, 0.563, 0.459, 0.133, 0.125, 0.487, 0.521, 0.58, 0.183, 0.371]"
03,1.283,1.375,0.511,0.933,0.511,0.455,0.501,"[0.375, 0.524, 0.682, 0.625, 0.222, 0.493, 0.402, 0.582, 0.255, 0.394]"
04,1.268,1.528,0.411,0.938,0.411,0.388,0.417,"[0.269, 0.584, 0.567, 0.49, 0.207, 0.498, 0.25, 0.478, 0.161, 0.374]"
05,1.242,1.941,0.285,0.864,0.285,0.318,0.280,"[0.233, 0.53, 0.533, 0.248, 0.064, 0.447, 0.069, 0.505, 0.145, 0.405]"
06,1.216,1.420,0.482,0.955,0.482,0.438,0.502,"[0.372, 0.492, 0.698, 0.606, 0.104, 0.474, 0.458, 0.539, 0.273, 0.363]"
07,1.229,1.667,0.365,0.900,0.365,0.338,0.337,"[0.259, 0.591, 0.395, 0.355, 0.113, 0.444, 0.127, 0.474, 0.185, 0.436]"
08,1.179,1.382,0.479,0.948,0.479,0.409,0.468,"[0.377, 0.593, 0.383, 0.597, 0.18, 0.485, 0.304, 0.508, 0.244, 0.421]"
09,1.181,1.355,0.501,0.953,0.501,0.441,0.513,"[0.368, 0.466, 0.714, 0.618, 0.162, 0.489, 0.497, 0.553, 0.23, 0.312]"
10,1.163,1.667,0.377,0.899,0.377,0.345,0.375,"[0.265, 0.577, 0.346, 0.491, 0.101, 0.467, 0.131, 0.474, 0.172, 0.42]"
11,1.165,1.269,0.536,0.963,0.536,0.477,0.549,"[0.304, 0.589, 0.708, 0.583, 0.269, 0.501, 0.567, 0.577, 0.254, 0.422]"
12,1.156,1.449,0.463,0.939,0.463,0.395,0.453,"[0.381, 0.394, 0.41, 0.616, 0.164, 0.49, 0.352, 0.473, 0.283, 0.384]"
13,1.132,1.360,0.501,0.957,0.501,0.415,0.513,"[0.353, 0.604, 0.471, 0.508, 0.135, 0.226, 0.615, 0.609, 0.207, 0.418]"
14,1.129,1.553,0.406,0.941,0.406,0.393,0.406,"[0.289, 0.569, 0.612, 0.538, 0.15, 0.475, 0.182, 0.488, 0.161, 0.472]"
15,1.126,1.406,0.485,0.952,0.485,0.423,0.507,"[0.408, 0.571, 0.469, 0.608, 0.108, 0.429, 0.448, 0.572, 0.229, 0.387]"
16,1.119,1.488,0.447,0.937,0.447,0.393,0.468,"[0.252, 0.546, 0.441, 0.439, 0.134, 0.488, 0.484, 0.533, 0.236, 0.376]"
17,1.105,1.407,0.462,0.957,0.462,0.401,0.485,"[0.381, 0.585, 0.336, 0.542, 0.126, 0.487, 0.423, 0.486, 0.224, 0.424]"
18,1.091,1.389,0.465,0.958,0.465,0.434,0.473,"[0.372, 0.586, 0.61, 0.511, 0.138, 0.469, 0.396, 0.546, 0.257, 0.456]"
19,1.098,1.566,0.387,0.918,0.387,0.370,0.358,"[0.273, 0.554, 0.607, 0.21, 0.195, 0.504, 0.329, 0.469, 0.195, 0.361]"
20,1.098,1.487,0.441,0.940,0.441,0.430,0.446,"[0.407, 0.545, 0.723, 0.588, 0.185, 0.478, 0.261, 0.548, 0.174, 0.392]"
21,1.079,1.449,0.448,0.945,0.448,0.411,0.466,"[0.369, 0.512, 0.596, 0.585, 0.111, 0.486, 0.36, 0.488, 0.212, 0.39]"
22,1.089,1.293,0.525,0.958,0.525,0.460,0.528,"[0.375, 0.574, 0.561, 0.622, 0.213, 0.505, 0.458, 0.604, 0.255, 0.435]"
