epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.098,2.113,0.281,0.734,0.281,0.083,0.154,"[0.095, 0.0, 0.176, 0.003, 0.0, 0.0, 0.503, 0.0, 0.0, 0.054]"
01,1.883,2.286,0.218,0.590,0.218,0.130,0.096,"[0.039, 0.389, 0.375, 0.0, 0.045, 0.0, 0.0, 0.451, 0.0, 0.0]"
02,1.914,1.981,0.362,0.818,0.362,0.239,0.313,"[0.172, 0.46, 0.293, 0.0, 0.099, 0.365, 0.571, 0.19, 0.087, 0.151]"
03,1.660,1.962,0.313,0.862,0.313,0.277,0.312,"[0.125, 0.387, 0.456, 0.217, 0.125, 0.412, 0.32, 0.547, 0.108, 0.072]"
04,1.742,1.862,0.388,0.901,0.388,0.276,0.413,"[0.0, 0.521, 0.161, 0.432, 0.089, 0.369, 0.426, 0.443, 0.127, 0.193]"
05,1.445,1.988,0.396,0.900,0.396,0.262,0.329,"[0.0, 0.528, 0.265, 0.532, 0.118, 0.489, 0.0, 0.425, 0.157, 0.11]"
06,1.660,2.538,0.310,0.840,0.310,0.257,0.260,"[0.215, 0.058, 0.345, 0.53, 0.136, 0.5, 0.0, 0.575, 0.104, 0.109]"
07,1.483,2.154,0.341,0.823,0.341,0.266,0.360,"[0.276, 0.233, 0.045, 0.237, 0.087, 0.52, 0.513, 0.53, 0.089, 0.13]"
08,1.423,1.690,0.446,0.893,0.446,0.336,0.447,"[0.208, 0.566, 0.36, 0.353, 0.119, 0.501, 0.508, 0.525, 0.134, 0.09]"
09,1.393,3.005,0.303,0.784,0.303,0.303,0.317,"[0.136, 0.073, 0.622, 0.417, 0.185, 0.519, 0.273, 0.603, 0.123, 0.075]"
10,1.581,1.917,0.355,0.902,0.355,0.265,0.305,"[0.022, 0.514, 0.651, 0.23, 0.078, 0.338, 0.277, 0.435, 0.0, 0.104]"
11,1.579,1.988,0.402,0.915,0.402,0.277,0.416,"[0.302, 0.468, 0.168, 0.513, 0.282, 0.054, 0.518, 0.307, 0.118, 0.035]"
12,1.180,2.388,0.291,0.902,0.291,0.273,0.252,"[0.304, 0.575, 0.571, 0.109, 0.17, 0.449, 0.136, 0.328, 0.027, 0.061]"
13,1.270,1.881,0.413,0.920,0.413,0.356,0.420,"[0.301, 0.255, 0.571, 0.534, 0.089, 0.471, 0.412, 0.586, 0.113, 0.232]"
14,1.138,1.872,0.471,0.909,0.471,0.320,0.469,"[0.22, 0.459, 0.133, 0.574, 0.333, 0.11, 0.573, 0.58, 0.118, 0.103]"
15,1.017,2.209,0.410,0.936,0.410,0.333,0.365,"[0.222, 0.516, 0.556, 0.587, 0.236, 0.481, 0.069, 0.383, 0.081, 0.198]"
16,1.077,2.231,0.346,0.913,0.346,0.290,0.342,"[0.04, 0.588, 0.405, 0.404, 0.118, 0.467, 0.113, 0.55, 0.142, 0.074]"
17,1.289,1.635,0.516,0.950,0.516,0.375,0.501,"[0.281, 0.617, 0.536, 0.567, 0.206, 0.25, 0.542, 0.583, 0.039, 0.133]"
18,1.188,1.689,0.466,0.952,0.466,0.355,0.412,"[0.25, 0.562, 0.582, 0.603, 0.24, 0.501, 0.164, 0.484, 0.014, 0.15]"
