epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.137,3.063,0.182,0.765,0.182,0.258,0.154,"[0.207, 0.476, 0.571, 0.0, 0.16, 0.099, 0.032, 0.615, 0.071, 0.349]"
01,1.941,1.562,0.489,0.962,0.489,0.401,0.459,"[0.335, 0.423, 0.45, 0.606, 0.242, 0.515, 0.353, 0.527, 0.202, 0.36]"
02,1.814,2.851,0.332,0.831,0.332,0.310,0.303,"[0.362, 0.552, 0.411, 0.052, 0.171, 0.016, 0.476, 0.522, 0.123, 0.411]"
03,2.036,2.807,0.259,0.832,0.259,0.286,0.235,"[0.315, 0.522, 0.732, 0.143, 0.096, 0.048, 0.162, 0.599, 0.122, 0.126]"
04,1.901,2.471,0.345,0.891,0.345,0.311,0.385,"[0.022, 0.258, 0.524, 0.48, 0.131, 0.454, 0.375, 0.561, 0.125, 0.181]"
05,2.107,3.389,0.431,0.804,0.431,0.365,0.365,"[0.318, 0.583, 0.45, 0.597, 0.248, 0.451, 0.0, 0.415, 0.195, 0.397]"
06,1.961,2.132,0.448,0.927,0.448,0.363,0.442,"[0.317, 0.59, 0.217, 0.246, 0.105, 0.476, 0.551, 0.641, 0.09, 0.395]"
07,1.778,2.227,0.383,0.944,0.383,0.360,0.407,"[0.078, 0.567, 0.529, 0.335, 0.173, 0.393, 0.408, 0.596, 0.134, 0.388]"
08,1.791,2.449,0.428,0.889,0.428,0.356,0.383,"[0.352, 0.205, 0.545, 0.599, 0.146, 0.436, 0.262, 0.56, 0.167, 0.288]"
09,1.604,2.467,0.417,0.894,0.417,0.362,0.418,"[0.19, 0.599, 0.564, 0.205, 0.118, 0.394, 0.583, 0.328, 0.204, 0.432]"
10,2.154,2.325,0.458,0.939,0.458,0.324,0.431,"[0.171, 0.504, 0.107, 0.373, 0.288, 0.165, 0.581, 0.615, 0.039, 0.398]"
11,2.412,3.953,0.350,0.771,0.350,0.318,0.299,"[0.251, 0.566, 0.579, 0.0, 0.182, 0.399, 0.37, 0.505, 0.145, 0.179]"
12,2.001,3.194,0.386,0.835,0.386,0.357,0.342,"[0.228, 0.593, 0.65, 0.07, 0.108, 0.485, 0.392, 0.518, 0.133, 0.392]"
13,1.964,3.173,0.326,0.882,0.326,0.276,0.299,"[0.226, 0.595, 0.214, 0.423, 0.207, 0.267, 0.04, 0.331, 0.173, 0.281]"
14,1.789,4.089,0.279,0.846,0.279,0.292,0.258,"[0.219, 0.181, 0.556, 0.403, 0.178, 0.504, 0.055, 0.403, 0.134, 0.289]"
15,2.068,2.608,0.431,0.930,0.431,0.393,0.443,"[0.301, 0.561, 0.556, 0.577, 0.345, 0.024, 0.43, 0.587, 0.116, 0.435]"
16,1.807,2.181,0.455,0.934,0.455,0.408,0.439,"[0.278, 0.568, 0.6, 0.187, 0.172, 0.466, 0.596, 0.645, 0.184, 0.381]"
17,1.500,2.825,0.359,0.903,0.359,0.312,0.325,"[0.19, 0.536, 0.348, 0.267, 0.157, 0.477, 0.18, 0.6, 0.182, 0.183]"
18,1.288,2.455,0.355,0.900,0.355,0.339,0.287,"[0.314, 0.58, 0.582, 0.109, 0.301, 0.416, 0.217, 0.394, 0.207, 0.27]"
19,1.298,2.618,0.310,0.894,0.310,0.317,0.304,"[0.212, 0.429, 0.632, 0.392, 0.298, 0.45, 0.1, 0.402, 0.132, 0.125]"
20,1.311,1.834,0.491,0.940,0.491,0.371,0.488,"[0.273, 0.331, 0.295, 0.585, 0.174, 0.423, 0.572, 0.528, 0.188, 0.34]"
21,1.123,2.436,0.375,0.919,0.375,0.314,0.337,"[0.212, 0.449, 0.34, 0.571, 0.288, 0.461, 0.037, 0.344, 0.139, 0.296]"
22,1.401,3.383,0.279,0.800,0.279,0.244,0.241,"[0.218, 0.532, 0.156, 0.047, 0.122, 0.343, 0.202, 0.382, 0.149, 0.285]"
23,1.560,2.465,0.407,0.951,0.407,0.346,0.335,"[0.311, 0.518, 0.529, 0.536, 0.242, 0.319, 0.055, 0.409, 0.099, 0.439]"
24,1.355,3.492,0.276,0.862,0.276,0.277,0.295,"[0.21, 0.168, 0.553, 0.449, 0.137, 0.207, 0.24, 0.537, 0.125, 0.143]"
25,1.683,2.128,0.439,0.941,0.439,0.369,0.446,"[0.267, 0.594, 0.581, 0.552, 0.157, 0.158, 0.428, 0.414, 0.17, 0.368]"
26,1.615,1.931,0.509,0.938,0.509,0.410,0.508,"[0.3, 0.553, 0.632, 0.559, 0.207, 0.172, 0.612, 0.594, 0.168, 0.302]"
27,1.577,1.910,0.502,0.940,0.502,0.363,0.493,"[0.262, 0.573, 0.514, 0.533, 0.294, 0.298, 0.616, 0.23, 0.041, 0.269]"
28,1.328,2.370,0.366,0.922,0.366,0.371,0.343,"[0.235, 0.544, 0.6, 0.263, 0.312, 0.498, 0.244, 0.447, 0.16, 0.408]"
29,1.519,3.031,0.431,0.866,0.431,0.381,0.363,"[0.247, 0.494, 0.698, 0.59, 0.267, 0.508, 0.009, 0.572, 0.156, 0.265]"
30,1.500,2.350,0.433,0.955,0.433,0.422,0.416,"[0.298, 0.608, 0.6, 0.476, 0.329, 0.487, 0.215, 0.626, 0.177, 0.407]"
31,1.410,2.424,0.395,0.941,0.395,0.329,0.380,"[0.271, 0.564, 0.367, 0.375, 0.153, 0.439, 0.284, 0.491, 0.1, 0.246]"
32,1.211,2.310,0.414,0.926,0.414,0.310,0.373,"[0.138, 0.627, 0.163, 0.546, 0.218, 0.421, 0.094, 0.361, 0.176, 0.357]"
33,1.385,3.249,0.404,0.841,0.404,0.380,0.341,"[0.281, 0.409, 0.667, 0.589, 0.353, 0.506, 0.003, 0.438, 0.171, 0.379]"
34,1.166,2.385,0.432,0.931,0.432,0.395,0.406,"[0.214, 0.254, 0.667, 0.587, 0.36, 0.491, 0.298, 0.569, 0.177, 0.333]"
35,1.137,2.078,0.413,0.954,0.413,0.377,0.375,"[0.309, 0.603, 0.485, 0.449, 0.253, 0.379, 0.173, 0.491, 0.205, 0.419]"
36,1.006,1.998,0.414,0.944,0.414,0.357,0.405,"[0.276, 0.548, 0.558, 0.29, 0.216, 0.264, 0.506, 0.514, 0.153, 0.245]"
37,1.188,2.120,0.470,0.971,0.470,0.422,0.458,"[0.257, 0.504, 0.579, 0.593, 0.27, 0.495, 0.307, 0.627, 0.18, 0.408]"
38,1.241,2.119,0.424,0.940,0.424,0.347,0.420,"[0.279, 0.579, 0.432, 0.369, 0.105, 0.486, 0.411, 0.424, 0.068, 0.317]"
39,1.105,2.040,0.461,0.934,0.461,0.386,0.419,"[0.26, 0.569, 0.595, 0.167, 0.2, 0.474, 0.569, 0.552, 0.118, 0.361]"
40,1.087,2.905,0.381,0.829,0.381,0.355,0.337,"[0.277, 0.504, 0.545, 0.008, 0.19, 0.419, 0.486, 0.612, 0.166, 0.344]"
41,1.211,2.608,0.332,0.905,0.332,0.305,0.348,"[0.161, 0.515, 0.421, 0.296, 0.124, 0.417, 0.312, 0.374, 0.138, 0.294]"
42,1.047,3.360,0.267,0.850,0.267,0.301,0.212,"[0.26, 0.525, 0.583, 0.078, 0.211, 0.348, 0.035, 0.529, 0.14, 0.297]"
43,1.302,3.162,0.319,0.841,0.319,0.311,0.246,"[0.275, 0.55, 0.571, 0.187, 0.16, 0.392, 0.025, 0.476, 0.168, 0.304]"
44,1.519,3.259,0.407,0.856,0.407,0.345,0.324,"[0.309, 0.541, 0.456, 0.466, 0.316, 0.498, 0.0, 0.45, 0.065, 0.352]"
45,1.613,3.512,0.337,0.872,0.337,0.327,0.338,"[0.148, 0.507, 0.4, 0.069, 0.267, 0.467, 0.439, 0.551, 0.151, 0.273]"
46,1.436,1.924,0.510,0.958,0.510,0.432,0.523,"[0.229, 0.538, 0.632, 0.518, 0.297, 0.413, 0.623, 0.584, 0.143, 0.342]"
