epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,14.315,20.998,0.201,0.458,0.201,0.119,0.097,"[0.252, 0.38, 0.0, 0.0, 0.044, 0.0, 0.0, 0.376, 0.14, 0.0]"
01,8.831,10.193,0.346,0.740,0.346,0.256,0.323,"[0.307, 0.613, 0.103, 0.067, 0.128, 0.19, 0.456, 0.45, 0.196, 0.046]"
02,4.516,8.426,0.388,0.912,0.388,0.362,0.393,"[0.444, 0.562, 0.485, 0.632, 0.216, 0.401, 0.079, 0.503, 0.225, 0.076]"
03,2.644,4.652,0.582,0.967,0.582,0.451,0.601,"[0.547, 0.672, 0.5, 0.652, 0.192, 0.57, 0.62, 0.52, 0.238, 0.0]"
04,1.756,5.688,0.547,0.951,0.547,0.443,0.545,"[0.524, 0.646, 0.636, 0.501, 0.111, 0.452, 0.629, 0.501, 0.278, 0.151]"
05,1.422,4.380,0.596,0.965,0.596,0.439,0.584,"[0.508, 0.542, 0.583, 0.659, 0.154, 0.533, 0.66, 0.456, 0.21, 0.088]"
06,1.016,4.590,0.528,0.964,0.528,0.433,0.528,"[0.425, 0.61, 0.651, 0.667, 0.208, 0.494, 0.434, 0.487, 0.244, 0.11]"
07,1.241,5.169,0.545,0.965,0.545,0.417,0.523,"[0.528, 0.589, 0.667, 0.449, 0.04, 0.464, 0.643, 0.47, 0.321, 0.0]"
08,0.914,3.998,0.562,0.970,0.562,0.453,0.567,"[0.53, 0.635, 0.615, 0.643, 0.111, 0.535, 0.552, 0.438, 0.329, 0.139]"
09,0.797,4.570,0.585,0.976,0.585,0.433,0.568,"[0.522, 0.554, 0.595, 0.655, 0.0, 0.523, 0.603, 0.436, 0.287, 0.152]"
10,0.853,3.572,0.609,0.972,0.609,0.463,0.604,"[0.536, 0.631, 0.615, 0.68, 0.059, 0.541, 0.641, 0.442, 0.329, 0.158]"
11,0.800,3.889,0.560,0.970,0.560,0.429,0.546,"[0.543, 0.649, 0.684, 0.644, 0.0, 0.519, 0.49, 0.446, 0.263, 0.056]"
12,0.450,4.012,0.556,0.970,0.556,0.425,0.542,"[0.537, 0.649, 0.684, 0.64, 0.0, 0.515, 0.482, 0.459, 0.249, 0.031]"
13,0.484,3.811,0.571,0.969,0.571,0.438,0.566,"[0.503, 0.667, 0.684, 0.63, 0.0, 0.509, 0.557, 0.462, 0.309, 0.062]"
14,0.614,5.525,0.496,0.958,0.496,0.402,0.477,"[0.507, 0.602, 0.684, 0.413, 0.0, 0.454, 0.514, 0.492, 0.296, 0.058]"
15,0.475,4.014,0.570,0.964,0.570,0.439,0.567,"[0.425, 0.675, 0.684, 0.633, 0.0, 0.507, 0.553, 0.473, 0.333, 0.108]"
16,0.402,4.305,0.544,0.971,0.544,0.419,0.526,"[0.526, 0.639, 0.667, 0.664, 0.0, 0.486, 0.415, 0.468, 0.293, 0.033]"
17,0.344,4.814,0.520,0.971,0.520,0.396,0.498,"[0.471, 0.609, 0.632, 0.65, 0.0, 0.451, 0.365, 0.491, 0.294, 0.0]"
18,0.433,3.794,0.556,0.972,0.556,0.444,0.558,"[0.523, 0.624, 0.7, 0.662, 0.0, 0.497, 0.528, 0.435, 0.34, 0.131]"
19,0.413,4.019,0.579,0.967,0.579,0.421,0.565,"[0.507, 0.66, 0.667, 0.569, 0.0, 0.492, 0.633, 0.453, 0.225, 0.0]"
20,0.434,4.016,0.553,0.972,0.553,0.409,0.540,"[0.545, 0.565, 0.632, 0.659, 0.0, 0.483, 0.524, 0.438, 0.249, 0.0]"
21,0.424,4.869,0.517,0.970,0.517,0.403,0.499,"[0.428, 0.493, 0.718, 0.643, 0.053, 0.47, 0.446, 0.433, 0.283, 0.062]"
22,0.526,4.917,0.561,0.960,0.561,0.403,0.530,"[0.532, 0.658, 0.611, 0.438, 0.0, 0.52, 0.64, 0.398, 0.236, 0.0]"
23,0.810,4.957,0.537,0.955,0.537,0.417,0.535,"[0.484, 0.671, 0.632, 0.522, 0.054, 0.465, 0.576, 0.439, 0.291, 0.032]"
24,0.922,6.128,0.497,0.961,0.497,0.377,0.477,"[0.503, 0.617, 0.684, 0.561, 0.0, 0.443, 0.403, 0.455, 0.107, 0.0]"
25,0.499,4.234,0.573,0.969,0.573,0.438,0.566,"[0.516, 0.637, 0.684, 0.619, 0.0, 0.529, 0.573, 0.465, 0.357, 0.0]"
26,0.456,5.715,0.503,0.965,0.503,0.406,0.483,"[0.5, 0.605, 0.684, 0.58, 0.0, 0.482, 0.369, 0.443, 0.364, 0.029]"
27,0.256,3.833,0.604,0.970,0.604,0.462,0.600,"[0.542, 0.665, 0.684, 0.664, 0.0, 0.539, 0.622, 0.457, 0.332, 0.116]"
28,0.268,4.173,0.609,0.965,0.609,0.455,0.597,"[0.517, 0.678, 0.684, 0.604, 0.0, 0.533, 0.667, 0.444, 0.338, 0.086]"
29,0.159,3.863,0.606,0.969,0.606,0.473,0.605,"[0.571, 0.683, 0.684, 0.666, 0.053, 0.518, 0.629, 0.449, 0.353, 0.127]"
30,0.169,4.384,0.584,0.969,0.584,0.439,0.573,"[0.56, 0.63, 0.667, 0.575, 0.0, 0.521, 0.65, 0.409, 0.349, 0.032]"
31,0.182,4.315,0.556,0.969,0.556,0.428,0.550,"[0.513, 0.646, 0.667, 0.657, 0.0, 0.502, 0.495, 0.432, 0.339, 0.03]"
32,0.243,4.424,0.566,0.971,0.566,0.433,0.555,"[0.52, 0.637, 0.649, 0.639, 0.0, 0.5, 0.525, 0.487, 0.344, 0.03]"
33,0.207,4.027,0.586,0.964,0.586,0.452,0.584,"[0.513, 0.659, 0.667, 0.624, 0.053, 0.518, 0.624, 0.43, 0.325, 0.11]"
34,0.464,4.747,0.579,0.968,0.579,0.402,0.561,"[0.457, 0.65, 0.556, 0.579, 0.0, 0.505, 0.643, 0.282, 0.291, 0.058]"
35,0.306,4.508,0.588,0.966,0.588,0.418,0.565,"[0.5, 0.65, 0.611, 0.612, 0.0, 0.324, 0.655, 0.45, 0.314, 0.063]"
36,0.171,4.086,0.610,0.972,0.610,0.422,0.593,"[0.52, 0.651, 0.571, 0.632, 0.0, 0.536, 0.668, 0.41, 0.231, 0.0]"
37,0.111,4.182,0.606,0.973,0.606,0.442,0.595,"[0.522, 0.668, 0.632, 0.616, 0.0, 0.535, 0.654, 0.484, 0.306, 0.0]"
38,0.133,4.217,0.593,0.971,0.593,0.440,0.583,"[0.525, 0.652, 0.649, 0.597, 0.0, 0.518, 0.646, 0.482, 0.333, 0.0]"
39,0.219,4.281,0.580,0.968,0.580,0.435,0.570,"[0.527, 0.654, 0.649, 0.566, 0.0, 0.52, 0.629, 0.487, 0.318, 0.0]"
