epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.907,1.586,0.407,0.921,0.407,0.229,0.297,"[0.334, 0.518, 0.39, 0.029, 0.112, 0.0, 0.584, 0.255, 0.0, 0.069]"
01,1.478,1.597,0.477,0.915,0.477,0.371,0.471,"[0.462, 0.224, 0.436, 0.548, 0.093, 0.399, 0.63, 0.407, 0.227, 0.281]"
02,1.234,1.892,0.432,0.932,0.432,0.358,0.398,"[0.504, 0.35, 0.405, 0.586, 0.065, 0.401, 0.264, 0.425, 0.242, 0.34]"
03,1.210,2.049,0.432,0.926,0.432,0.373,0.442,"[0.354, 0.582, 0.4, 0.38, 0.059, 0.376, 0.484, 0.412, 0.317, 0.364]"
04,1.181,1.650,0.554,0.975,0.554,0.448,0.556,"[0.496, 0.575, 0.533, 0.585, 0.055, 0.426, 0.633, 0.466, 0.377, 0.332]"
05,1.246,2.212,0.440,0.956,0.440,0.370,0.428,"[0.507, 0.487, 0.493, 0.609, 0.03, 0.378, 0.286, 0.355, 0.239, 0.318]"
06,1.203,2.230,0.476,0.962,0.476,0.387,0.437,"[0.502, 0.606, 0.416, 0.21, 0.057, 0.413, 0.582, 0.484, 0.234, 0.369]"
07,1.059,2.334,0.441,0.967,0.441,0.383,0.420,"[0.528, 0.484, 0.486, 0.569, 0.07, 0.343, 0.292, 0.432, 0.253, 0.367]"
08,1.034,2.532,0.445,0.946,0.445,0.361,0.399,"[0.384, 0.571, 0.4, 0.087, 0.022, 0.41, 0.592, 0.496, 0.286, 0.359]"
09,1.066,2.603,0.438,0.964,0.438,0.367,0.402,"[0.4, 0.285, 0.558, 0.578, 0.03, 0.427, 0.311, 0.43, 0.257, 0.393]"
10,1.097,3.535,0.419,0.875,0.419,0.343,0.357,"[0.33, 0.549, 0.485, 0.0, 0.0, 0.391, 0.568, 0.413, 0.315, 0.381]"
11,1.543,3.326,0.465,0.951,0.465,0.356,0.419,"[0.325, 0.078, 0.522, 0.598, 0.027, 0.477, 0.456, 0.425, 0.281, 0.367]"
12,1.486,3.968,0.394,0.927,0.394,0.361,0.334,"[0.486, 0.505, 0.541, 0.01, 0.062, 0.42, 0.483, 0.404, 0.336, 0.37]"
13,1.625,2.958,0.486,0.929,0.486,0.365,0.495,"[0.252, 0.332, 0.438, 0.571, 0.054, 0.449, 0.625, 0.368, 0.244, 0.32]"
14,1.662,2.962,0.497,0.937,0.497,0.397,0.476,"[0.421, 0.39, 0.471, 0.62, 0.0, 0.486, 0.427, 0.474, 0.286, 0.396]"
15,1.630,3.589,0.431,0.941,0.431,0.373,0.394,"[0.4, 0.579, 0.548, 0.158, 0.016, 0.407, 0.516, 0.436, 0.257, 0.413]"
16,1.302,4.525,0.433,0.912,0.433,0.329,0.402,"[0.35, 0.161, 0.322, 0.558, 0.083, 0.412, 0.419, 0.405, 0.322, 0.256]"
