epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,3.334,2.483,0.495,0.957,0.495,0.358,0.463,"[0.257, 0.348, 0.456, 0.606, 0.246, 0.072, 0.617, 0.376, 0.133, 0.468]"
01,2.370,3.000,0.411,0.919,0.411,0.405,0.406,"[0.467, 0.312, 0.583, 0.588, 0.275, 0.383, 0.318, 0.334, 0.279, 0.509]"
02,1.770,3.593,0.440,0.903,0.440,0.330,0.405,"[0.579, 0.531, 0.295, 0.327, 0.158, 0.008, 0.581, 0.489, 0.042, 0.29]"
03,2.146,1.865,0.546,0.969,0.546,0.494,0.552,"[0.634, 0.573, 0.474, 0.649, 0.257, 0.475, 0.515, 0.503, 0.333, 0.526]"
04,1.686,2.639,0.512,0.881,0.512,0.460,0.493,"[0.402, 0.661, 0.625, 0.288, 0.181, 0.524, 0.607, 0.462, 0.38, 0.471]"
05,1.762,2.136,0.543,0.956,0.543,0.473,0.546,"[0.637, 0.634, 0.75, 0.539, 0.232, 0.276, 0.677, 0.362, 0.269, 0.35]"
06,1.651,2.149,0.496,0.960,0.496,0.464,0.517,"[0.406, 0.522, 0.667, 0.605, 0.262, 0.343, 0.545, 0.497, 0.228, 0.569]"
07,1.544,2.440,0.452,0.954,0.452,0.381,0.458,"[0.627, 0.599, 0.369, 0.395, 0.106, 0.093, 0.592, 0.476, 0.356, 0.198]"
08,1.526,3.046,0.438,0.882,0.438,0.408,0.436,"[0.26, 0.605, 0.552, 0.148, 0.148, 0.486, 0.605, 0.546, 0.215, 0.513]"
09,1.621,2.014,0.529,0.966,0.529,0.485,0.535,"[0.406, 0.634, 0.63, 0.573, 0.308, 0.501, 0.494, 0.56, 0.297, 0.45]"
10,1.719,2.582,0.527,0.973,0.527,0.480,0.515,"[0.617, 0.494, 0.682, 0.459, 0.162, 0.487, 0.599, 0.57, 0.395, 0.331]"
11,1.716,2.983,0.386,0.952,0.386,0.410,0.345,"[0.498, 0.586, 0.68, 0.276, 0.218, 0.466, 0.199, 0.428, 0.215, 0.53]"
12,1.318,2.274,0.543,0.940,0.543,0.458,0.526,"[0.365, 0.653, 0.711, 0.572, 0.333, 0.067, 0.628, 0.471, 0.396, 0.386]"
13,1.271,1.739,0.591,0.971,0.591,0.543,0.598,"[0.629, 0.682, 0.43, 0.617, 0.371, 0.492, 0.607, 0.527, 0.439, 0.639]"
14,1.214,1.756,0.564,0.981,0.564,0.535,0.554,"[0.582, 0.638, 0.681, 0.659, 0.36, 0.549, 0.44, 0.518, 0.327, 0.598]"
15,1.184,3.903,0.400,0.948,0.400,0.382,0.330,"[0.31, 0.17, 0.732, 0.585, 0.245, 0.439, 0.119, 0.413, 0.259, 0.553]"
16,1.239,2.409,0.556,0.972,0.556,0.495,0.526,"[0.417, 0.208, 0.667, 0.633, 0.37, 0.544, 0.624, 0.533, 0.372, 0.582]"
17,1.175,1.989,0.614,0.979,0.614,0.533,0.595,"[0.654, 0.652, 0.714, 0.634, 0.262, 0.289, 0.691, 0.478, 0.394, 0.56]"
18,1.128,3.448,0.451,0.937,0.451,0.434,0.376,"[0.493, 0.297, 0.744, 0.647, 0.338, 0.464, 0.104, 0.456, 0.357, 0.442]"
19,1.450,3.545,0.436,0.944,0.436,0.411,0.430,"[0.496, 0.279, 0.607, 0.551, 0.197, 0.216, 0.507, 0.332, 0.338, 0.59]"
20,1.116,2.282,0.560,0.947,0.560,0.463,0.555,"[0.438, 0.61, 0.533, 0.581, 0.214, 0.206, 0.679, 0.563, 0.306, 0.503]"
21,1.401,3.275,0.457,0.925,0.457,0.447,0.465,"[0.425, 0.635, 0.548, 0.37, 0.37, 0.467, 0.495, 0.385, 0.253, 0.521]"
22,1.171,2.898,0.448,0.943,0.448,0.443,0.430,"[0.472, 0.605, 0.694, 0.274, 0.357, 0.522, 0.456, 0.395, 0.319, 0.335]"
23,1.200,1.866,0.614,0.982,0.614,0.555,0.600,"[0.615, 0.695, 0.756, 0.57, 0.382, 0.523, 0.687, 0.267, 0.434, 0.622]"
24,1.384,3.831,0.451,0.860,0.451,0.427,0.399,"[0.534, 0.568, 0.54, 0.0, 0.298, 0.536, 0.607, 0.528, 0.198, 0.461]"
25,1.547,3.672,0.405,0.940,0.405,0.432,0.384,"[0.573, 0.63, 0.591, 0.404, 0.289, 0.457, 0.18, 0.448, 0.196, 0.555]"
26,1.339,1.966,0.574,0.971,0.574,0.508,0.586,"[0.488, 0.639, 0.723, 0.638, 0.133, 0.415, 0.633, 0.525, 0.287, 0.597]"
27,1.131,3.424,0.428,0.925,0.428,0.436,0.399,"[0.473, 0.581, 0.611, 0.398, 0.271, 0.508, 0.242, 0.474, 0.249, 0.553]"
28,1.250,1.985,0.610,0.972,0.610,0.519,0.601,"[0.477, 0.669, 0.447, 0.559, 0.34, 0.515, 0.693, 0.504, 0.424, 0.56]"
29,1.129,2.489,0.461,0.942,0.461,0.459,0.450,"[0.443, 0.627, 0.667, 0.532, 0.308, 0.457, 0.282, 0.479, 0.241, 0.554]"
30,1.148,2.066,0.554,0.974,0.554,0.494,0.551,"[0.333, 0.625, 0.611, 0.647, 0.339, 0.5, 0.488, 0.544, 0.283, 0.574]"
31,1.063,2.892,0.464,0.939,0.464,0.428,0.466,"[0.389, 0.667, 0.586, 0.605, 0.133, 0.415, 0.28, 0.373, 0.346, 0.489]"
32,1.045,3.404,0.424,0.965,0.424,0.446,0.386,"[0.613, 0.557, 0.732, 0.166, 0.317, 0.315, 0.499, 0.425, 0.267, 0.569]"
33,1.244,1.863,0.597,0.979,0.597,0.543,0.599,"[0.408, 0.656, 0.7, 0.566, 0.421, 0.517, 0.686, 0.518, 0.35, 0.605]"
34,1.065,1.980,0.525,0.982,0.525,0.512,0.519,"[0.522, 0.659, 0.762, 0.474, 0.231, 0.467, 0.516, 0.505, 0.396, 0.591]"
35,1.261,2.382,0.517,0.966,0.517,0.485,0.540,"[0.56, 0.691, 0.682, 0.545, 0.146, 0.473, 0.514, 0.532, 0.298, 0.413]"
36,1.326,2.399,0.585,0.960,0.585,0.504,0.576,"[0.444, 0.695, 0.698, 0.578, 0.267, 0.22, 0.695, 0.533, 0.302, 0.609]"
37,0.935,2.113,0.564,0.974,0.564,0.511,0.586,"[0.376, 0.671, 0.7, 0.565, 0.322, 0.5, 0.675, 0.435, 0.233, 0.635]"
38,1.227,2.198,0.515,0.977,0.515,0.490,0.539,"[0.429, 0.656, 0.714, 0.517, 0.284, 0.411, 0.597, 0.47, 0.213, 0.604]"
39,1.273,2.553,0.532,0.976,0.532,0.463,0.519,"[0.147, 0.654, 0.762, 0.649, 0.32, 0.53, 0.382, 0.453, 0.279, 0.457]"
40,1.320,1.704,0.616,0.983,0.616,0.580,0.618,"[0.659, 0.698, 0.773, 0.663, 0.3, 0.545, 0.601, 0.525, 0.408, 0.626]"
41,0.676,1.612,0.605,0.979,0.605,0.538,0.603,"[0.559, 0.645, 0.581, 0.663, 0.379, 0.41, 0.652, 0.499, 0.35, 0.639]"
42,1.045,1.893,0.578,0.975,0.578,0.535,0.589,"[0.427, 0.656, 0.711, 0.586, 0.322, 0.547, 0.625, 0.523, 0.322, 0.633]"
43,0.994,3.114,0.470,0.959,0.470,0.458,0.436,"[0.489, 0.592, 0.732, 0.228, 0.263, 0.491, 0.52, 0.435, 0.361, 0.473]"
44,0.814,1.900,0.558,0.978,0.558,0.525,0.552,"[0.564, 0.617, 0.732, 0.673, 0.355, 0.53, 0.452, 0.46, 0.324, 0.542]"
45,0.785,1.749,0.565,0.978,0.565,0.524,0.577,"[0.481, 0.643, 0.727, 0.647, 0.28, 0.504, 0.565, 0.428, 0.328, 0.639]"
46,1.006,2.308,0.543,0.976,0.543,0.512,0.534,"[0.556, 0.585, 0.732, 0.474, 0.15, 0.532, 0.577, 0.543, 0.389, 0.582]"
47,1.288,2.487,0.519,0.963,0.519,0.451,0.536,"[0.459, 0.502, 0.377, 0.629, 0.366, 0.463, 0.566, 0.399, 0.273, 0.477]"
48,1.266,2.376,0.528,0.967,0.528,0.462,0.533,"[0.352, 0.624, 0.682, 0.522, 0.272, 0.236, 0.654, 0.529, 0.25, 0.503]"
49,0.961,2.367,0.520,0.975,0.520,0.499,0.504,"[0.619, 0.622, 0.5, 0.481, 0.339, 0.522, 0.463, 0.49, 0.364, 0.594]"
50,1.267,2.281,0.534,0.979,0.534,0.508,0.532,"[0.537, 0.658, 0.727, 0.457, 0.29, 0.453, 0.601, 0.407, 0.379, 0.571]"
51,1.035,1.962,0.555,0.978,0.555,0.518,0.558,"[0.515, 0.584, 0.732, 0.673, 0.317, 0.507, 0.501, 0.466, 0.375, 0.512]"
52,0.958,1.700,0.605,0.976,0.605,0.551,0.603,"[0.436, 0.648, 0.744, 0.577, 0.349, 0.564, 0.669, 0.529, 0.378, 0.619]"
53,1.050,2.926,0.506,0.947,0.506,0.469,0.493,"[0.524, 0.643, 0.7, 0.579, 0.168, 0.296, 0.42, 0.482, 0.342, 0.532]"
54,1.194,2.482,0.578,0.983,0.578,0.468,0.556,"[0.348, 0.666, 0.684, 0.589, 0.33, 0.269, 0.685, 0.211, 0.288, 0.613]"
55,1.050,2.140,0.544,0.978,0.544,0.490,0.560,"[0.33, 0.66, 0.684, 0.532, 0.299, 0.437, 0.643, 0.498, 0.226, 0.59]"
56,0.964,2.841,0.575,0.959,0.575,0.503,0.542,"[0.561, 0.278, 0.718, 0.638, 0.29, 0.418, 0.675, 0.513, 0.381, 0.554]"
57,0.978,2.324,0.514,0.975,0.514,0.493,0.521,"[0.495, 0.664, 0.615, 0.56, 0.261, 0.48, 0.454, 0.436, 0.345, 0.619]"
58,0.830,2.189,0.537,0.969,0.537,0.515,0.548,"[0.461, 0.68, 0.651, 0.516, 0.386, 0.534, 0.557, 0.47, 0.277, 0.62]"
