epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.371,1.362,0.547,0.962,0.547,0.502,0.548,
1,0.93,1.272,0.565,0.977,0.565,0.513,0.568,
2,0.773,1.159,0.591,0.977,0.591,0.531,0.587,
3,0.665,1.067,0.617,0.981,0.617,0.539,0.628,
4,0.597,1.066,0.616,0.984,0.616,0.546,0.622,
5,0.577,1.001,0.632,0.986,0.632,0.561,0.641,
6,0.545,1.072,0.618,0.984,0.618,0.547,0.624,
7,0.531,1.122,0.607,0.982,0.607,0.533,0.614,
8,0.545,1.118,0.615,0.98,0.615,0.54,0.623,
9,0.531,1.091,0.614,0.985,0.614,0.548,0.619,
10,0.52,1.052,0.62,0.985,0.62,0.557,0.626,
11,0.502,1.085,0.613,0.983,0.613,0.544,0.622,
12,0.498,1.087,0.608,0.985,0.608,0.545,0.619,
13,0.49,1.039,0.636,0.985,0.636,0.56,0.643,
14,0.491,1.008,0.642,0.986,0.642,0.569,0.649,
15,0.503,1.08,0.618,0.988,0.618,0.557,0.621,
16,0.522,1.218,0.607,0.98,0.607,0.544,0.609,
17,0.507,1.238,0.59,0.983,0.59,0.527,0.603,
18,0.491,1.108,0.611,0.985,0.611,0.549,0.617,
19,0.491,1.014,0.643,0.988,0.643,0.571,0.644,
20,0.475,1.066,0.63,0.988,0.63,0.562,0.633,
21,0.481,1.095,0.632,0.985,0.632,0.558,0.638,
22,0.497,1.084,0.626,0.985,0.626,0.555,0.631,
23,0.464,1.156,0.607,0.985,0.607,0.546,0.612,
24,0.472,1.101,0.621,0.985,0.621,0.554,0.626,
25,0.484,1.173,0.6,0.986,0.6,0.55,0.605,
26,0.49,1.046,0.655,0.985,0.655,0.567,0.655,
27,0.502,1.141,0.609,0.985,0.609,0.549,0.611,
28,0.461,1.061,0.645,0.985,0.645,0.562,0.65,
29,0.437,1.06,0.635,0.986,0.635,0.567,0.641,
30,0.423,1.084,0.632,0.985,0.632,0.559,0.638,
31,0.451,1.106,0.622,0.985,0.622,0.554,0.63,
32,0.467,1.154,0.608,0.986,0.608,0.548,0.612,
33,0.44,1.079,0.64,0.986,0.64,0.563,0.645,
34,0.457,1.136,0.622,0.984,0.622,0.558,0.625,
35,0.461,1.1,0.623,0.985,0.623,0.563,0.624,
36,0.447,1.149,0.608,0.985,0.608,0.544,0.616,
37,0.437,1.101,0.628,0.985,0.628,0.559,0.636,
38,0.447,1.119,0.624,0.986,0.624,0.557,0.633,
39,0.426,1.172,0.608,0.985,0.608,0.547,0.615,
40,0.446,1.132,0.619,0.987,0.619,0.554,0.625,
41,0.44,1.173,0.605,0.986,0.605,0.539,0.613,
42,0.445,1.166,0.61,0.984,0.61,0.545,0.615,
43,0.427,1.132,0.618,0.986,0.618,0.554,0.627,
44,0.425,1.07,0.637,0.985,0.637,0.561,0.647,
45,0.434,1.077,0.641,0.987,0.641,0.566,0.645,
46,0.428,1.073,0.639,0.987,0.639,0.567,0.643,
47,0.427,1.11,0.62,0.986,0.62,0.559,0.626,
48,0.429,1.137,0.627,0.984,0.627,0.553,0.635,
