epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.352,0.289,0.136,0.084,"[0.15, 0.199, 0.044, 0.237, 0.055, 0.16, 0.181, 0.133, 0.115, 0.09]"
01,0.261,0.247,0.116,0.067,"[0.061, 0.176, 0.044, 0.222, 0.055, 0.139, 0.17, 0.1, 0.107, 0.083]"
02,0.236,0.222,0.108,0.065,"[0.059, 0.152, 0.044, 0.195, 0.05, 0.133, 0.164, 0.095, 0.104, 0.082]"
03,0.223,0.217,0.106,0.063,"[0.058, 0.152, 0.039, 0.195, 0.051, 0.131, 0.162, 0.094, 0.102, 0.081]"
04,0.213,0.220,0.108,0.065,"[0.058, 0.151, 0.036, 0.197, 0.047, 0.13, 0.181, 0.094, 0.102, 0.079]"
05,0.214,0.222,0.110,0.066,"[0.064, 0.168, 0.034, 0.211, 0.045, 0.13, 0.172, 0.091, 0.105, 0.076]"
06,0.213,0.217,0.105,0.063,"[0.06, 0.146, 0.033, 0.194, 0.046, 0.13, 0.168, 0.097, 0.1, 0.081]"
07,0.211,0.216,0.104,0.062,"[0.058, 0.146, 0.032, 0.192, 0.046, 0.129, 0.161, 0.097, 0.1, 0.076]"
08,0.209,0.217,0.103,0.062,"[0.058, 0.142, 0.032, 0.192, 0.044, 0.13, 0.171, 0.09, 0.099, 0.076]"
09,0.210,0.221,0.106,0.063,"[0.058, 0.141, 0.032, 0.197, 0.045, 0.133, 0.185, 0.091, 0.1, 0.075]"
10,0.211,0.221,0.106,0.062,"[0.059, 0.155, 0.03, 0.196, 0.043, 0.131, 0.164, 0.112, 0.098, 0.073]"
11,0.212,0.221,0.105,0.063,"[0.057, 0.15, 0.031, 0.209, 0.045, 0.129, 0.169, 0.09, 0.099, 0.074]"
12,0.206,0.215,0.101,0.060,"[0.056, 0.139, 0.03, 0.185, 0.043, 0.127, 0.161, 0.091, 0.098, 0.074]"
13,0.206,0.214,0.101,0.060,"[0.057, 0.139, 0.03, 0.186, 0.044, 0.129, 0.161, 0.091, 0.099, 0.074]"
14,0.204,0.220,0.105,0.063,"[0.057, 0.167, 0.03, 0.19, 0.043, 0.126, 0.171, 0.091, 0.1, 0.075]"
15,0.205,0.218,0.104,0.061,"[0.056, 0.152, 0.03, 0.198, 0.043, 0.13, 0.166, 0.09, 0.098, 0.073]"
16,0.206,0.217,0.103,0.061,"[0.056, 0.15, 0.031, 0.193, 0.043, 0.13, 0.161, 0.092, 0.099, 0.073]"
17,0.204,0.219,0.105,0.062,"[0.056, 0.142, 0.029, 0.195, 0.043, 0.131, 0.183, 0.096, 0.098, 0.074]"
18,0.203,0.216,0.102,0.060,"[0.056, 0.14, 0.03, 0.184, 0.042, 0.134, 0.164, 0.092, 0.1, 0.074]"
19,0.203,0.220,0.104,0.062,"[0.057, 0.145, 0.03, 0.203, 0.045, 0.128, 0.17, 0.09, 0.101, 0.074]"
20,0.201,0.219,0.103,0.061,"[0.055, 0.143, 0.03, 0.2, 0.044, 0.129, 0.168, 0.09, 0.099, 0.073]"
21,0.204,0.221,0.105,0.062,"[0.057, 0.149, 0.03, 0.189, 0.044, 0.127, 0.179, 0.102, 0.099, 0.075]"
22,0.204,0.217,0.102,0.061,"[0.056, 0.141, 0.029, 0.185, 0.043, 0.137, 0.164, 0.093, 0.098, 0.074]"
23,0.204,0.216,0.102,0.060,"[0.055, 0.141, 0.029, 0.184, 0.043, 0.128, 0.168, 0.099, 0.101, 0.075]"
24,0.205,0.220,0.105,0.062,"[0.056, 0.143, 0.03, 0.195, 0.045, 0.135, 0.181, 0.091, 0.098, 0.074]"
25,0.203,0.217,0.102,0.059,"[0.06, 0.144, 0.029, 0.187, 0.043, 0.126, 0.163, 0.091, 0.098, 0.074]"
26,0.204,0.220,0.106,0.063,"[0.056, 0.154, 0.029, 0.199, 0.043, 0.145, 0.17, 0.095, 0.099, 0.074]"
27,0.202,0.218,0.103,0.060,"[0.055, 0.148, 0.029, 0.193, 0.043, 0.129, 0.165, 0.095, 0.099, 0.073]"
28,0.203,0.220,0.104,0.061,"[0.056, 0.146, 0.03, 0.201, 0.043, 0.127, 0.167, 0.094, 0.1, 0.073]"
29,0.202,0.217,0.102,0.060,"[0.056, 0.144, 0.029, 0.187, 0.043, 0.128, 0.167, 0.092, 0.1, 0.074]"
30,0.204,0.226,0.109,0.064,"[0.056, 0.173, 0.03, 0.2, 0.043, 0.128, 0.175, 0.106, 0.099, 0.076]"
31,0.203,0.219,0.104,0.060,"[0.055, 0.157, 0.029, 0.194, 0.043, 0.127, 0.165, 0.094, 0.098, 0.076]"
32,0.202,0.218,0.104,0.062,"[0.06, 0.145, 0.029, 0.185, 0.043, 0.141, 0.167, 0.092, 0.105, 0.075]"
33,0.200,0.216,0.101,0.059,"[0.055, 0.14, 0.029, 0.184, 0.044, 0.127, 0.164, 0.092, 0.099, 0.074]"
34,0.199,0.218,0.102,0.060,"[0.058, 0.143, 0.029, 0.193, 0.043, 0.13, 0.163, 0.091, 0.099, 0.076]"
35,0.200,0.217,0.102,0.060,"[0.055, 0.143, 0.03, 0.19, 0.043, 0.127, 0.165, 0.091, 0.099, 0.076]"
36,0.200,0.218,0.101,0.059,"[0.055, 0.142, 0.029, 0.187, 0.043, 0.128, 0.162, 0.091, 0.099, 0.075]"
37,0.200,0.224,0.106,0.063,"[0.056, 0.162, 0.029, 0.187, 0.043, 0.135, 0.171, 0.095, 0.104, 0.075]"
38,0.202,0.217,0.102,0.061,"[0.056, 0.141, 0.03, 0.185, 0.043, 0.135, 0.168, 0.091, 0.1, 0.074]"
39,0.198,0.218,0.102,0.060,"[0.056, 0.144, 0.029, 0.187, 0.044, 0.129, 0.163, 0.095, 0.099, 0.074]"
40,0.201,0.218,0.102,0.059,"[0.057, 0.142, 0.029, 0.184, 0.042, 0.128, 0.168, 0.092, 0.101, 0.074]"
41,0.198,0.216,0.101,0.059,"[0.055, 0.142, 0.029, 0.185, 0.043, 0.128, 0.163, 0.092, 0.099, 0.074]"
42,0.199,0.218,0.102,0.060,"[0.055, 0.144, 0.029, 0.187, 0.043, 0.128, 0.168, 0.095, 0.101, 0.074]"
43,0.199,0.219,0.104,0.061,"[0.056, 0.141, 0.03, 0.191, 0.044, 0.13, 0.172, 0.094, 0.103, 0.075]"
44,0.201,0.219,0.105,0.061,"[0.055, 0.146, 0.029, 0.189, 0.043, 0.146, 0.167, 0.094, 0.102, 0.075]"
45,0.200,0.218,0.102,0.060,"[0.055, 0.142, 0.03, 0.186, 0.043, 0.129, 0.163, 0.092, 0.103, 0.074]"
46,0.200,0.221,0.105,0.061,"[0.057, 0.149, 0.029, 0.192, 0.042, 0.138, 0.165, 0.101, 0.103, 0.073]"
47,0.200,0.218,0.102,0.060,"[0.055, 0.143, 0.029, 0.19, 0.043, 0.128, 0.166, 0.094, 0.099, 0.074]"
