epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.241,0.212,0.099,0.059,"[0.054, 0.134, 0.031, 0.183, 0.043, 0.126, 0.157, 0.093, 0.098, 0.075]"
01,0.217,0.212,0.097,0.058,"[0.051, 0.141, 0.03, 0.18, 0.041, 0.119, 0.158, 0.085, 0.095, 0.069]"
02,0.215,0.211,0.096,0.057,"[0.05, 0.142, 0.028, 0.185, 0.04, 0.119, 0.154, 0.085, 0.095, 0.064]"
03,0.216,0.217,0.098,0.058,"[0.053, 0.155, 0.027, 0.178, 0.04, 0.121, 0.16, 0.088, 0.096, 0.065]"
04,0.213,0.220,0.101,0.061,"[0.061, 0.153, 0.027, 0.186, 0.039, 0.129, 0.159, 0.087, 0.096, 0.076]"
05,0.213,0.209,0.094,0.055,"[0.05, 0.127, 0.029, 0.174, 0.04, 0.122, 0.153, 0.085, 0.094, 0.063]"
06,0.213,0.209,0.094,0.056,"[0.05, 0.125, 0.028, 0.171, 0.041, 0.118, 0.155, 0.094, 0.095, 0.066]"
07,0.213,0.212,0.095,0.056,"[0.055, 0.137, 0.027, 0.175, 0.04, 0.119, 0.155, 0.085, 0.095, 0.064]"
08,0.213,0.210,0.094,0.056,"[0.049, 0.123, 0.026, 0.172, 0.04, 0.12, 0.156, 0.098, 0.095, 0.062]"
09,0.214,0.217,0.098,0.058,"[0.051, 0.133, 0.027, 0.209, 0.039, 0.118, 0.162, 0.085, 0.095, 0.062]"
10,0.214,0.211,0.095,0.056,"[0.054, 0.134, 0.026, 0.176, 0.041, 0.12, 0.152, 0.086, 0.096, 0.062]"
11,0.213,0.210,0.094,0.057,"[0.05, 0.125, 0.027, 0.174, 0.039, 0.128, 0.154, 0.086, 0.097, 0.063]"
12,0.212,0.214,0.097,0.057,"[0.051, 0.142, 0.026, 0.196, 0.039, 0.123, 0.154, 0.085, 0.094, 0.062]"
13,0.214,0.212,0.095,0.055,"[0.051, 0.135, 0.026, 0.172, 0.04, 0.121, 0.152, 0.09, 0.095, 0.063]"
14,0.212,0.211,0.093,0.055,"[0.053, 0.126, 0.026, 0.172, 0.039, 0.116, 0.159, 0.086, 0.094, 0.062]"
15,0.213,0.213,0.096,0.057,"[0.051, 0.13, 0.025, 0.175, 0.039, 0.12, 0.173, 0.088, 0.094, 0.062]"
16,0.212,0.210,0.094,0.055,"[0.051, 0.127, 0.025, 0.171, 0.04, 0.121, 0.159, 0.086, 0.095, 0.061]"
17,0.213,0.212,0.095,0.057,"[0.049, 0.127, 0.025, 0.177, 0.039, 0.126, 0.167, 0.084, 0.095, 0.063]"
18,0.212,0.210,0.093,0.054,"[0.049, 0.126, 0.024, 0.17, 0.039, 0.119, 0.158, 0.085, 0.094, 0.061]"
19,0.212,0.211,0.094,0.056,"[0.049, 0.122, 0.025, 0.179, 0.042, 0.128, 0.155, 0.085, 0.094, 0.063]"
20,0.212,0.213,0.096,0.057,"[0.052, 0.126, 0.025, 0.172, 0.039, 0.123, 0.155, 0.109, 0.095, 0.064]"
21,0.212,0.210,0.094,0.055,"[0.05, 0.127, 0.025, 0.174, 0.039, 0.123, 0.156, 0.085, 0.094, 0.063]"
22,0.212,0.215,0.098,0.059,"[0.049, 0.148, 0.025, 0.188, 0.039, 0.127, 0.165, 0.087, 0.095, 0.062]"
23,0.212,0.211,0.094,0.056,"[0.05, 0.131, 0.026, 0.175, 0.041, 0.118, 0.152, 0.088, 0.098, 0.062]"
24,0.212,0.212,0.095,0.056,"[0.051, 0.123, 0.025, 0.173, 0.039, 0.119, 0.169, 0.087, 0.099, 0.062]"
25,0.213,0.213,0.095,0.056,"[0.054, 0.127, 0.026, 0.187, 0.039, 0.121, 0.153, 0.085, 0.095, 0.061]"
26,0.212,0.212,0.096,0.057,"[0.05, 0.142, 0.025, 0.183, 0.04, 0.117, 0.157, 0.086, 0.095, 0.061]"
27,0.212,0.217,0.098,0.058,"[0.049, 0.145, 0.026, 0.21, 0.038, 0.119, 0.155, 0.085, 0.095, 0.06]"
28,0.213,0.209,0.093,0.056,"[0.05, 0.125, 0.025, 0.173, 0.039, 0.118, 0.156, 0.085, 0.098, 0.062]"
29,0.211,0.214,0.096,0.057,"[0.052, 0.123, 0.027, 0.184, 0.039, 0.121, 0.172, 0.085, 0.095, 0.062]"
30,0.212,0.217,0.098,0.057,"[0.051, 0.154, 0.028, 0.183, 0.04, 0.123, 0.156, 0.085, 0.095, 0.065]"
31,0.212,0.211,0.094,0.055,"[0.05, 0.133, 0.025, 0.177, 0.04, 0.118, 0.153, 0.087, 0.094, 0.062]"
32,0.212,0.209,0.092,0.055,"[0.049, 0.125, 0.025, 0.171, 0.039, 0.117, 0.152, 0.085, 0.094, 0.062]"
33,0.212,0.212,0.095,0.056,"[0.054, 0.123, 0.027, 0.178, 0.039, 0.121, 0.169, 0.086, 0.095, 0.061]"
34,0.212,0.209,0.093,0.056,"[0.05, 0.123, 0.025, 0.172, 0.04, 0.123, 0.153, 0.085, 0.095, 0.063]"
