epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.384,0.300,0.163,0.109,"[0.097, 0.267, 0.044, 0.329, 0.054, 0.202, 0.266, 0.148, 0.13, 0.097]"
01,0.332,0.294,0.158,0.109,"[0.103, 0.25, 0.044, 0.287, 0.055, 0.179, 0.251, 0.166, 0.148, 0.095]"
02,0.295,0.272,0.146,0.097,"[0.096, 0.236, 0.044, 0.27, 0.055, 0.173, 0.232, 0.132, 0.128, 0.096]"
03,0.266,0.265,0.144,0.094,"[0.105, 0.223, 0.044, 0.267, 0.054, 0.168, 0.227, 0.126, 0.128, 0.095]"
04,0.253,0.257,0.144,0.094,"[0.114, 0.222, 0.044, 0.26, 0.056, 0.165, 0.234, 0.122, 0.128, 0.095]"
05,0.245,0.251,0.140,0.093,"[0.091, 0.215, 0.043, 0.263, 0.054, 0.163, 0.228, 0.121, 0.129, 0.094]"
06,0.241,0.249,0.138,0.091,"[0.087, 0.209, 0.035, 0.259, 0.053, 0.161, 0.224, 0.119, 0.134, 0.094]"
07,0.240,0.258,0.142,0.094,"[0.087, 0.206, 0.036, 0.295, 0.053, 0.18, 0.222, 0.118, 0.129, 0.095]"
08,0.239,0.250,0.139,0.089,"[0.088, 0.223, 0.035, 0.259, 0.054, 0.16, 0.227, 0.118, 0.128, 0.094]"
09,0.236,0.247,0.137,0.088,"[0.097, 0.211, 0.034, 0.256, 0.053, 0.16, 0.22, 0.113, 0.128, 0.094]"
10,0.234,0.247,0.136,0.088,"[0.091, 0.21, 0.033, 0.256, 0.053, 0.157, 0.219, 0.112, 0.131, 0.094]"
11,0.234,0.246,0.136,0.089,"[0.099, 0.202, 0.034, 0.255, 0.053, 0.157, 0.222, 0.109, 0.135, 0.094]"
12,0.235,0.248,0.137,0.089,"[0.104, 0.195, 0.034, 0.264, 0.053, 0.156, 0.218, 0.111, 0.137, 0.094]"
13,0.233,0.247,0.135,0.086,"[0.103, 0.198, 0.033, 0.255, 0.053, 0.161, 0.221, 0.105, 0.129, 0.094]"
14,0.233,0.248,0.135,0.087,"[0.086, 0.195, 0.034, 0.274, 0.053, 0.157, 0.222, 0.11, 0.127, 0.094]"
15,0.234,0.252,0.139,0.088,"[0.097, 0.206, 0.035, 0.26, 0.053, 0.156, 0.245, 0.11, 0.132, 0.093]"
16,0.235,0.248,0.136,0.086,"[0.095, 0.21, 0.033, 0.257, 0.053, 0.155, 0.221, 0.11, 0.129, 0.094]"
17,0.232,0.247,0.132,0.086,"[0.085, 0.194, 0.031, 0.256, 0.053, 0.154, 0.215, 0.102, 0.134, 0.095]"
18,0.231,0.246,0.134,0.085,"[0.085, 0.199, 0.033, 0.274, 0.053, 0.155, 0.223, 0.101, 0.127, 0.093]"
19,0.231,0.244,0.131,0.084,"[0.087, 0.197, 0.035, 0.253, 0.053, 0.152, 0.215, 0.101, 0.127, 0.094]"
20,0.230,0.242,0.131,0.084,"[0.09, 0.19, 0.031, 0.252, 0.053, 0.152, 0.215, 0.103, 0.13, 0.093]"
21,0.228,0.243,0.131,0.084,"[0.088, 0.191, 0.031, 0.254, 0.053, 0.154, 0.221, 0.098, 0.127, 0.093]"
22,0.230,0.247,0.136,0.087,"[0.128, 0.192, 0.033, 0.253, 0.053, 0.154, 0.221, 0.102, 0.134, 0.093]"
23,0.230,0.244,0.133,0.086,"[0.106, 0.193, 0.032, 0.254, 0.053, 0.157, 0.215, 0.098, 0.132, 0.094]"
24,0.232,0.250,0.137,0.086,"[0.086, 0.212, 0.034, 0.255, 0.053, 0.153, 0.248, 0.106, 0.127, 0.093]"
25,0.230,0.244,0.132,0.084,"[0.083, 0.202, 0.032, 0.253, 0.053, 0.153, 0.222, 0.1, 0.127, 0.093]"
26,0.226,0.243,0.131,0.084,"[0.083, 0.195, 0.031, 0.251, 0.053, 0.151, 0.213, 0.1, 0.138, 0.093]"
27,0.227,0.239,0.129,0.082,"[0.084, 0.191, 0.031, 0.251, 0.053, 0.151, 0.212, 0.1, 0.127, 0.093]"
28,0.225,0.239,0.129,0.082,"[0.087, 0.192, 0.031, 0.25, 0.053, 0.151, 0.213, 0.097, 0.127, 0.093]"
29,0.227,0.244,0.132,0.085,"[0.097, 0.188, 0.032, 0.263, 0.053, 0.155, 0.217, 0.097, 0.13, 0.093]"
30,0.228,0.243,0.132,0.084,"[0.099, 0.186, 0.032, 0.255, 0.053, 0.156, 0.213, 0.102, 0.134, 0.092]"
31,0.225,0.241,0.129,0.082,"[0.086, 0.189, 0.031, 0.25, 0.053, 0.155, 0.212, 0.096, 0.128, 0.093]"
32,0.225,0.242,0.131,0.083,"[0.097, 0.187, 0.034, 0.25, 0.053, 0.151, 0.223, 0.094, 0.127, 0.092]"
33,0.228,0.245,0.132,0.084,"[0.084, 0.192, 0.032, 0.25, 0.053, 0.159, 0.231, 0.096, 0.127, 0.092]"
34,0.228,0.247,0.133,0.085,"[0.084, 0.198, 0.033, 0.275, 0.053, 0.155, 0.215, 0.094, 0.127, 0.094]"
35,0.226,0.240,0.129,0.081,"[0.09, 0.187, 0.031, 0.251, 0.053, 0.15, 0.211, 0.096, 0.13, 0.092]"
36,0.224,0.240,0.129,0.082,"[0.086, 0.188, 0.031, 0.25, 0.053, 0.15, 0.211, 0.098, 0.132, 0.092]"
37,0.225,0.246,0.132,0.084,"[0.085, 0.19, 0.031, 0.264, 0.053, 0.153, 0.226, 0.095, 0.13, 0.092]"
38,0.225,0.241,0.130,0.080,"[0.083, 0.185, 0.036, 0.256, 0.053, 0.149, 0.214, 0.106, 0.126, 0.092]"
39,0.223,0.240,0.128,0.081,"[0.087, 0.186, 0.032, 0.249, 0.053, 0.15, 0.215, 0.093, 0.126, 0.092]"
40,0.224,0.240,0.129,0.081,"[0.086, 0.192, 0.03, 0.249, 0.053, 0.15, 0.212, 0.095, 0.126, 0.093]"
41,0.222,0.240,0.130,0.083,"[0.093, 0.189, 0.033, 0.255, 0.053, 0.151, 0.212, 0.093, 0.13, 0.092]"
42,0.223,0.239,0.129,0.080,"[0.099, 0.185, 0.031, 0.248, 0.053, 0.15, 0.21, 0.093, 0.127, 0.092]"
