epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.474,0.297,0.165,0.116,
1,0.295,0.332,0.17,0.109,
2,0.336,0.341,0.166,0.105,
3,0.327,0.363,0.152,0.097,
4,0.317,0.348,0.156,0.098,
5,0.301,0.344,0.15,0.092,
6,0.285,0.339,0.153,0.093,
7,0.26,0.323,0.14,0.086,
8,0.246,0.298,0.137,0.081,
9,0.229,0.296,0.138,0.084,
10,0.223,0.305,0.145,0.088,
11,0.222,0.289,0.136,0.081,
12,0.206,0.277,0.127,0.075,
13,0.203,0.28,0.13,0.077,
14,0.206,0.278,0.129,0.075,
15,0.198,0.275,0.127,0.072,
16,0.192,0.27,0.126,0.071,
17,0.188,0.266,0.124,0.071,
18,0.183,0.263,0.123,0.072,
19,0.183,0.26,0.122,0.073,
20,0.181,0.259,0.123,0.072,
21,0.177,0.258,0.122,0.071,
22,0.174,0.256,0.122,0.071,
23,0.173,0.254,0.122,0.071,
24,0.172,0.253,0.121,0.07,
25,0.171,0.253,0.122,0.071,
26,0.165,0.253,0.123,0.071,
27,0.165,0.25,0.122,0.071,
28,0.166,0.248,0.121,0.071,
29,0.164,0.248,0.121,0.071,
30,0.167,0.249,0.122,0.072,
31,0.164,0.248,0.122,0.071,
32,0.163,0.247,0.121,0.071,
33,0.163,0.246,0.122,0.071,
34,0.162,0.246,0.121,0.071,
35,0.162,0.247,0.121,0.071,
36,0.161,0.246,0.122,0.071,
37,0.16,0.246,0.122,0.071,
38,0.162,0.245,0.121,0.07,
39,0.159,0.245,0.121,0.07,
40,0.159,0.245,0.121,0.07,
41,0.156,0.245,0.122,0.07,
42,0.158,0.244,0.122,0.07,
43,0.157,0.244,0.121,0.07,
44,0.157,0.243,0.121,0.07,
45,0.155,0.244,0.122,0.07,
46,0.157,0.244,0.122,0.07,
47,0.154,0.243,0.121,0.07,
48,0.155,0.242,0.121,0.07,
49,0.155,0.242,0.121,0.07,
50,0.155,0.241,0.121,0.07,
51,0.153,0.24,0.121,0.07,
52,0.151,0.24,0.121,0.07,
53,0.15,0.24,0.121,0.07,
54,0.15,0.24,0.12,0.069,
55,0.147,0.239,0.119,0.068,
56,0.149,0.24,0.119,0.068,
57,0.149,0.242,0.12,0.068,
58,0.147,0.243,0.12,0.068,
59,0.146,0.24,0.118,0.067,
60,0.148,0.24,0.118,0.067,
61,0.147,0.242,0.118,0.067,
62,0.147,0.242,0.118,0.066,
63,0.146,0.241,0.118,0.066,
64,0.147,0.242,0.118,0.066,
65,0.148,0.243,0.119,0.067,
66,0.148,0.245,0.12,0.067,
67,0.148,0.243,0.119,0.066,
68,0.146,0.241,0.118,0.066,
69,0.144,0.241,0.116,0.065,
70,0.146,0.243,0.118,0.066,
71,0.144,0.243,0.118,0.066,
72,0.145,0.242,0.118,0.066,
73,0.147,0.24,0.117,0.065,
74,0.145,0.241,0.117,0.065,
75,0.145,0.242,0.117,0.065,
76,0.147,0.243,0.118,0.066,
77,0.146,0.243,0.118,0.066,
78,0.145,0.241,0.117,0.065,
79,0.146,0.24,0.117,0.065,
80,0.144,0.242,0.119,0.066,
81,0.144,0.242,0.118,0.066,
82,0.145,0.242,0.117,0.065,
83,0.146,0.241,0.117,0.065,
84,0.145,0.24,0.117,0.065,
85,0.144,0.242,0.118,0.066,
86,0.145,0.242,0.118,0.065,
87,0.145,0.242,0.118,0.065,
88,0.143,0.241,0.117,0.065,
89,0.148,0.241,0.117,0.065,
90,0.143,0.241,0.118,0.066,
91,0.145,0.242,0.117,0.065,
92,0.145,0.242,0.117,0.066,
93,0.147,0.24,0.117,0.065,
94,0.144,0.241,0.118,0.065,
95,0.147,0.242,0.117,0.065,
96,0.144,0.243,0.118,0.065,
97,0.143,0.241,0.117,0.065,
98,0.147,0.239,0.117,0.065,
99,0.144,0.239,0.117,0.065,"[0.069, 0.163, 0.043, 0.215, 0.053, 0.139, 0.186, 0.103, 0.11, 0.088]"
