epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.162,1.956,0.414,0.905,0.414,0.320,0.414,"[0.258, 0.524, 0.167, 0.262, 0.0, 0.441, 0.509, 0.605, 0.126, 0.304]"
01,2.187,3.852,0.301,0.671,0.301,0.231,0.287,"[0.13, 0.296, 0.079, 0.003, 0.13, 0.489, 0.487, 0.446, 0.048, 0.204]"
02,2.446,3.775,0.267,0.776,0.267,0.282,0.189,"[0.446, 0.524, 0.248, 0.0, 0.093, 0.317, 0.019, 0.607, 0.169, 0.4]"
03,2.245,3.643,0.286,0.839,0.286,0.302,0.217,"[0.414, 0.556, 0.718, 0.055, 0.174, 0.465, 0.063, 0.247, 0.073, 0.251]"
04,2.225,2.041,0.523,0.950,0.523,0.411,0.539,"[0.328, 0.576, 0.17, 0.591, 0.222, 0.531, 0.536, 0.612, 0.183, 0.356]"
05,2.092,1.713,0.513,0.956,0.513,0.385,0.503,"[0.263, 0.325, 0.485, 0.578, 0.199, 0.435, 0.621, 0.624, 0.082, 0.234]"
06,2.011,2.300,0.392,0.908,0.392,0.282,0.395,"[0.16, 0.455, 0.198, 0.329, 0.125, 0.114, 0.557, 0.602, 0.136, 0.146]"
07,1.952,3.157,0.276,0.904,0.276,0.316,0.211,"[0.375, 0.51, 0.485, 0.074, 0.306, 0.352, 0.041, 0.493, 0.112, 0.412]"
08,1.834,2.550,0.400,0.901,0.400,0.319,0.390,"[0.293, 0.545, 0.169, 0.363, 0.275, 0.047, 0.469, 0.545, 0.149, 0.333]"
09,1.902,4.464,0.288,0.717,0.288,0.317,0.265,"[0.414, 0.477, 0.279, 0.299, 0.346, 0.446, 0.0, 0.485, 0.106, 0.319]"
10,1.665,2.525,0.414,0.896,0.414,0.408,0.381,"[0.393, 0.557, 0.696, 0.547, 0.192, 0.474, 0.077, 0.52, 0.171, 0.457]"
11,1.591,3.271,0.306,0.875,0.306,0.320,0.277,"[0.312, 0.531, 0.387, 0.207, 0.187, 0.425, 0.111, 0.45, 0.124, 0.471]"
12,1.727,2.668,0.465,0.846,0.465,0.411,0.391,"[0.426, 0.627, 0.667, 0.589, 0.178, 0.523, 0.016, 0.483, 0.236, 0.368]"
13,1.614,2.350,0.434,0.937,0.434,0.340,0.408,"[0.254, 0.559, 0.183, 0.175, 0.149, 0.403, 0.562, 0.574, 0.125, 0.412]"
14,1.934,3.657,0.306,0.816,0.306,0.296,0.290,"[0.156, 0.426, 0.371, 0.053, 0.217, 0.387, 0.363, 0.596, 0.148, 0.241]"
15,2.304,2.293,0.504,0.953,0.504,0.418,0.496,"[0.3, 0.604, 0.507, 0.495, 0.359, 0.433, 0.528, 0.52, 0.0, 0.432]"
16,1.934,2.153,0.415,0.951,0.415,0.393,0.405,"[0.432, 0.517, 0.438, 0.396, 0.239, 0.387, 0.346, 0.562, 0.242, 0.366]"
17,1.739,1.727,0.514,0.964,0.514,0.431,0.511,"[0.428, 0.538, 0.294, 0.587, 0.304, 0.517, 0.478, 0.494, 0.194, 0.474]"
18,1.695,3.392,0.319,0.896,0.319,0.312,0.335,"[0.13, 0.436, 0.529, 0.145, 0.229, 0.5, 0.401, 0.528, 0.095, 0.13]"
19,2.167,2.849,0.345,0.929,0.345,0.305,0.328,"[0.273, 0.546, 0.191, 0.154, 0.099, 0.435, 0.332, 0.406, 0.21, 0.407]"
20,1.488,3.115,0.331,0.880,0.331,0.300,0.310,"[0.343, 0.204, 0.438, 0.487, 0.149, 0.39, 0.163, 0.464, 0.175, 0.188]"
21,1.869,2.135,0.497,0.955,0.497,0.339,0.481,"[0.362, 0.485, 0.205, 0.518, 0.244, 0.456, 0.593, 0.128, 0.078, 0.319]"
22,2.046,3.657,0.310,0.863,0.310,0.328,0.267,"[0.437, 0.329, 0.644, 0.018, 0.204, 0.322, 0.382, 0.582, 0.138, 0.22]"
23,1.696,2.246,0.485,0.970,0.485,0.408,0.489,"[0.343, 0.473, 0.627, 0.538, 0.053, 0.384, 0.529, 0.629, 0.133, 0.366]"
24,1.713,2.202,0.437,0.944,0.437,0.415,0.422,"[0.425, 0.605, 0.653, 0.411, 0.212, 0.427, 0.341, 0.461, 0.192, 0.426]"
25,1.583,2.344,0.422,0.934,0.422,0.407,0.449,"[0.357, 0.541, 0.679, 0.336, 0.168, 0.468, 0.524, 0.539, 0.165, 0.292]"
26,1.420,2.319,0.478,0.938,0.478,0.404,0.475,"[0.273, 0.326, 0.632, 0.524, 0.199, 0.527, 0.544, 0.547, 0.114, 0.358]"
27,1.781,2.293,0.483,0.936,0.483,0.387,0.483,"[0.351, 0.555, 0.621, 0.466, 0.166, 0.314, 0.608, 0.364, 0.144, 0.281]"
28,1.504,2.476,0.388,0.947,0.388,0.370,0.335,"[0.424, 0.569, 0.522, 0.257, 0.204, 0.405, 0.228, 0.445, 0.217, 0.43]"
29,1.351,2.882,0.329,0.918,0.329,0.334,0.317,"[0.434, 0.52, 0.438, 0.318, 0.184, 0.455, 0.137, 0.441, 0.135, 0.278]"
30,1.240,3.161,0.393,0.825,0.393,0.343,0.344,"[0.363, 0.544, 0.485, 0.0, 0.234, 0.495, 0.514, 0.323, 0.189, 0.286]"
31,1.573,2.325,0.466,0.936,0.466,0.360,0.401,"[0.425, 0.601, 0.354, 0.089, 0.293, 0.508, 0.587, 0.321, 0.138, 0.283]"
32,1.743,2.389,0.427,0.948,0.427,0.392,0.440,"[0.335, 0.592, 0.692, 0.45, 0.272, 0.11, 0.49, 0.592, 0.125, 0.267]"
