epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.185,2.254,0.295,0.85,0.295,0.249,0.284,
1,2.055,2.297,0.336,0.879,0.336,0.3,0.344,
2,2.057,1.91,0.415,0.937,0.415,0.331,0.42,
3,2.129,2.375,0.386,0.909,0.386,0.314,0.379,
4,1.929,1.894,0.46,0.941,0.46,0.389,0.455,
5,1.703,2.474,0.381,0.9,0.381,0.352,0.358,
6,1.933,3.278,0.294,0.837,0.294,0.279,0.273,
7,2.028,2.539,0.393,0.929,0.393,0.335,0.382,
8,1.797,2.668,0.388,0.894,0.388,0.346,0.375,
9,1.723,2.47,0.39,0.938,0.39,0.36,0.368,
10,1.629,2.669,0.345,0.931,0.345,0.336,0.31,
11,1.623,2.635,0.371,0.917,0.371,0.325,0.373,
12,1.586,2.126,0.419,0.94,0.419,0.372,0.425,
13,1.53,2.063,0.45,0.946,0.45,0.367,0.421,
14,1.381,1.943,0.47,0.957,0.47,0.396,0.458,
15,1.357,1.882,0.459,0.949,0.459,0.392,0.459,
16,1.209,2.229,0.437,0.919,0.437,0.376,0.422,
17,1.338,2.577,0.429,0.877,0.429,0.37,0.419,
18,1.312,1.858,0.465,0.955,0.465,0.367,0.441,
19,1.321,2.075,0.46,0.956,0.46,0.392,0.462,
20,1.283,2.016,0.465,0.95,0.465,0.407,0.48,
21,1.321,2.408,0.391,0.903,0.391,0.353,0.382,
22,1.405,2.517,0.381,0.925,0.381,0.324,0.364,
23,1.651,2.116,0.469,0.948,0.469,0.386,0.452,
24,1.557,2.288,0.472,0.94,0.472,0.355,0.478,
25,1.548,2.219,0.486,0.947,0.486,0.395,0.457,
26,1.562,2.328,0.409,0.953,0.409,0.369,0.434,
27,1.644,2.653,0.398,0.928,0.398,0.355,0.401,
28,1.514,2.767,0.369,0.93,0.369,0.315,0.358,
29,1.509,3.253,0.332,0.892,0.332,0.319,0.314,
30,1.421,2.64,0.396,0.923,0.396,0.33,0.384,
31,1.314,2.217,0.454,0.953,0.454,0.388,0.434,
32,1.217,2.465,0.411,0.932,0.411,0.382,0.406,
33,1.287,2.343,0.432,0.95,0.432,0.386,0.437,
34,1.181,1.921,0.47,0.96,0.47,0.412,0.47,
35,1.025,2.123,0.429,0.965,0.429,0.378,0.42,
36,1.216,2.152,0.447,0.94,0.447,0.382,0.458,
37,1.246,2.92,0.398,0.918,0.398,0.351,0.376,
38,1.321,2.421,0.383,0.934,0.383,0.361,0.395,
39,1.167,2.041,0.451,0.963,0.451,0.42,0.459,
40,1.191,2.554,0.428,0.936,0.428,0.391,0.422,
41,1.059,2.056,0.448,0.963,0.448,0.397,0.447,
42,1.017,2.314,0.436,0.925,0.436,0.388,0.424,
43,1.152,2.259,0.432,0.952,0.432,0.383,0.405,
44,1.055,1.879,0.468,0.965,0.468,0.413,0.47,
45,1.011,2.245,0.413,0.929,0.413,0.373,0.422,
46,1.018,2.504,0.424,0.915,0.424,0.4,0.404,
47,1.126,2.262,0.418,0.942,0.418,0.379,0.425,
48,1.112,2.369,0.434,0.943,0.434,0.373,0.426,
49,1.212,2.375,0.424,0.953,0.424,0.36,0.388,
50,1.262,2.297,0.456,0.963,0.456,0.398,0.448,
51,1.138,2.78,0.395,0.931,0.395,0.356,0.39,
52,1.148,2.467,0.442,0.931,0.442,0.372,0.414,
53,1.136,2.213,0.471,0.955,0.471,0.384,0.437,
54,1.009,2.562,0.394,0.913,0.394,0.356,0.383,
55,1.129,2.38,0.437,0.93,0.437,0.377,0.417,
56,1.18,2.275,0.472,0.941,0.472,0.4,0.465,
57,1.027,1.875,0.518,0.964,0.518,0.407,0.505,
58,1.107,3.287,0.376,0.868,0.376,0.344,0.35,
59,1.149,2.461,0.415,0.949,0.415,0.373,0.403,
60,1.092,2.692,0.399,0.944,0.399,0.352,0.404,
61,1.226,2.828,0.394,0.935,0.394,0.358,0.377,
62,1.223,2.49,0.435,0.938,0.435,0.368,0.44,
63,1.352,2.493,0.446,0.946,0.446,0.388,0.44,
64,1.294,2.456,0.482,0.938,0.482,0.404,0.455,
65,1.155,2.191,0.467,0.954,0.467,0.398,0.46,
66,1.053,2.226,0.449,0.953,0.449,0.391,0.445,
67,1.13,2.353,0.44,0.948,0.44,0.396,0.421,
68,1.155,2.311,0.45,0.945,0.45,0.379,0.45,
69,1.292,2.534,0.434,0.95,0.434,0.374,0.429,
70,1.327,3.515,0.358,0.887,0.358,0.328,0.329,
71,1.235,2.663,0.443,0.947,0.443,0.382,0.429,
72,1.284,3.321,0.388,0.875,0.388,0.32,0.356,
73,1.332,2.626,0.427,0.948,0.427,0.38,0.422,
74,1.125,2.627,0.423,0.935,0.423,0.365,0.412,
75,1.092,2.751,0.414,0.945,0.414,0.374,0.385,
