epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.014,0.002,0.002,0.002,
1,0.002,0.004,0.004,0.003,
2,0.002,0.002,0.003,0.002,
3,0.001,0.007,0.005,0.003,
4,0.001,0.002,0.001,0.001,
5,0.001,0.002,0.002,0.001,
6,0.002,0.006,0.006,0.003,
7,0.002,0.002,0.002,0.001,
8,0.001,0.005,0.003,0.003,
9,0.003,0.0,0.001,0.001,
10,0.002,0.002,0.001,0.001,
11,0.001,0.004,0.003,0.002,
12,0.003,0.005,0.004,0.002,
13,0.002,0.007,0.006,0.003,
14,0.001,0.004,0.003,0.002,
15,0.002,0.001,0.0,0.001,
16,0.002,0.011,0.009,0.006,
17,0.003,0.003,0.003,0.002,
18,0.001,0.002,0.002,0.001,
19,0.001,0.005,0.004,0.003,
20,0.001,0.004,0.003,0.001,
21,0.002,0.002,0.002,0.001,
22,0.002,0.001,0.002,0.001,
23,0.002,0.001,0.001,0.001,
24,0.001,0.003,0.002,0.001,
25,0.003,0.002,0.001,0.001,
26,0.002,0.002,0.002,0.002,
27,0.001,0.002,0.001,0.001,
28,0.001,0.01,0.006,0.004,
29,0.002,0.001,0.001,0.001,
30,0.002,0.004,0.002,0.002,
31,0.002,0.003,0.003,0.003,
32,0.003,0.007,0.004,0.003,
33,0.001,0.001,0.001,0.001,
34,0.002,0.001,0.001,0.0,
35,0.002,0.003,0.002,0.001,
36,0.002,0.002,0.003,0.002,
37,0.002,0.003,0.002,0.001,
38,0.002,0.001,0.002,0.001,
39,0.002,0.002,0.001,0.001,
40,0.004,0.002,0.0,0.0,
41,0.001,0.001,0.001,0.001,
42,0.001,0.002,0.002,0.002,
43,0.002,0.004,0.002,0.002,
44,0.003,0.001,0.001,0.001,
45,0.002,0.001,0.001,0.001,
46,0.002,0.003,0.003,0.002,
47,0.002,0.005,0.003,0.002,
48,0.001,0.004,0.004,0.003,
49,0.002,0.004,0.003,0.002,
50,0.001,0.003,0.002,0.001,
51,0.001,0.004,0.002,0.001,
52,0.001,0.002,0.002,0.002,
53,0.002,0.004,0.003,0.002,
54,0.002,0.001,0.001,0.001,
55,0.001,0.003,0.003,0.002,
56,0.002,0.001,0.001,0.001,
57,0.002,0.001,0.001,0.001,
58,0.002,0.004,0.002,0.002,
59,0.002,0.002,0.003,0.002,
60,0.003,0.007,0.004,0.003,
61,0.001,0.001,0.001,0.0,
62,0.002,0.002,0.001,0.001,
63,0.001,0.003,0.004,0.003,
64,0.002,0.001,0.0,0.001,
65,0.002,0.001,0.001,0.001,
66,0.002,0.002,0.002,0.002,
67,0.003,0.002,0.002,0.001,
68,0.002,0.0,0.001,0.001,
69,0.002,0.002,0.001,0.001,
70,0.002,0.001,0.001,0.001,
71,0.002,0.009,0.004,0.003,
72,0.003,0.003,0.002,0.002,
73,0.005,0.005,0.004,0.003,
74,0.002,0.004,0.004,0.003,
75,0.001,0.006,0.003,0.002,
76,0.001,0.003,0.002,0.001,
77,0.003,0.003,0.003,0.002,
78,0.001,0.001,0.001,0.001,
79,0.001,0.002,0.002,0.0,
80,0.002,0.003,0.003,0.003,
81,0.002,0.002,0.002,0.001,
82,0.002,0.005,0.004,0.003,
83,0.002,0.002,0.001,0.001,
84,0.001,0.004,0.004,0.003,
85,0.001,0.002,0.002,0.001,
86,0.002,0.002,0.002,0.001,
87,0.001,0.002,0.001,0.001,
88,0.002,0.001,0.0,0.0,
89,0.001,0.001,0.001,0.001,
90,0.001,0.004,0.004,0.003,
91,0.004,0.001,0.001,0.001,
92,0.002,0.002,0.001,0.001,
93,0.002,0.004,0.002,0.001,
94,0.001,0.004,0.003,0.002,
95,0.001,0.001,0.001,0.001,
96,0.003,0.001,0.001,0.0,
97,0.002,0.004,0.002,0.001,
98,0.002,0.003,0.002,0.001,
99,0.001,0.003,0.002,0.001,"[0.001, 0.008, 0.001, 0.004, 0.001, 0.001, 0.0, 0.004, 0.002, 0.002]"
