epoch,train_loss,val_loss,rmse,mae
0,0.381+-0.006,0.341+-0.021,0.151+-0.01,0.085+-0.005
1,0.307+-0.008,0.265+-0.01,0.129+-0.005,0.077+-0.003
2,0.251+-0.004,0.237+-0.001,0.122+-0.002,0.072+-0.002
3,0.234+-0.002,0.225+-0.002,0.112+-0.001,0.066+-0.001
4,0.226+-0.001,0.221+-0.002,0.109+-0.002,0.065+-0.002
5,0.224+-0.001,0.22+-0.003,0.109+-0.002,0.067+-0.002
6,0.222+-0.0,0.218+-0.001,0.106+-0.002,0.064+-0.001
7,0.221+-0.0,0.217+-0.001,0.106+-0.001,0.064+-0.001
8,0.221+-0.0,0.217+-0.001,0.105+-0.001,0.064+-0.001
9,0.22+-0.001,0.217+-0.002,0.105+-0.002,0.063+-0.001
10,0.219+-0.001,0.216+-0.002,0.105+-0.001,0.063+-0.001
11,0.219+-0.001,0.216+-0.001,0.104+-0.001,0.063+-0.001
12,0.219+-0.001,0.217+-0.002,0.105+-0.002,0.063+-0.001
13,0.219+-0.001,0.217+-0.003,0.105+-0.002,0.064+-0.001
14,0.218+-0.002,0.217+-0.001,0.105+-0.001,0.063+-0.001
15,0.218+-0.001,0.217+-0.004,0.105+-0.003,0.063+-0.002
16,0.219+-0.002,0.217+-0.004,0.104+-0.003,0.063+-0.002
17,0.218+-0.002,0.216+-0.002,0.103+-0.001,0.063+-0.001
18,0.218+-0.002,0.216+-0.002,0.104+-0.002,0.062+-0.002
19,0.218+-0.001,0.216+-0.002,0.104+-0.002,0.062+-0.001
20,0.218+-0.002,0.215+-0.001,0.103+-0.0,0.063+-0.001
21,0.217+-0.001,0.216+-0.002,0.103+-0.001,0.062+-0.001
22,0.216+-0.0,0.214+-0.001,0.102+-0.002,0.061+-0.001
23,0.216+-0.0,0.214+-0.001,0.102+-0.001,0.062+-0.001
24,0.215+-0.0,0.213+-0.001,0.102+-0.001,0.061+-0.001
25,0.216+-0.001,0.214+-0.002,0.102+-0.001,0.061+-0.0
26,0.215+-0.001,0.214+-0.001,0.102+-0.001,0.061+-0.001
27,0.215+-0.001,0.214+-0.001,0.101+-0.0,0.061+-0.0
28,0.215+-0.001,0.213+-0.001,0.101+-0.001,0.061+-0.001
29,0.215+-0.001,0.213+-0.001,0.101+-0.001,0.061+-0.0
30,0.216+-0.002,0.215+-0.001,0.103+-0.001,0.061+-0.001
31,0.216+-0.002,0.216+-0.003,0.102+-0.002,0.062+-0.002
32,0.215+-0.002,0.214+-0.001,0.101+-0.001,0.061+-0.0
33,0.216+-0.001,0.215+-0.002,0.102+-0.001,0.061+-0.002
34,0.215+-0.002,0.214+-0.001,0.101+-0.001,0.061+-0.001
35,0.216+-0.001,0.213+-0.002,0.101+-0.002,0.061+-0.002
36,0.215+-0.001,0.215+-0.002,0.102+-0.001,0.061+-0.0
37,0.215+-0.002,0.213+-0.001,0.101+-0.001,0.06+-0.001
38,0.216+-0.003,0.218+-0.005,0.104+-0.004,0.062+-0.002
39,0.215+-0.002,0.214+-0.002,0.101+-0.001,0.06+-0.001
