epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.143+-0.017,2.32+-0.643,0.341+-0.138,0.862+-0.085,0.341+-0.138,0.297+-0.034,0.339+-0.161
1,2.146+-0.188,2.374+-1.282,0.421+-0.104,0.856+-0.161,0.421+-0.104,0.337+-0.093,0.407+-0.104
2,2.117+-0.317,2.787+-1.021,0.344+-0.084,0.852+-0.088,0.344+-0.084,0.318+-0.041,0.293+-0.1
3,2.074+-0.156,2.689+-1.018,0.36+-0.152,0.868+-0.057,0.36+-0.152,0.35+-0.097,0.332+-0.184
4,2.01+-0.186,2.276+-0.218,0.43+-0.089,0.919+-0.03,0.43+-0.089,0.354+-0.052,0.461+-0.077
5,1.999+-0.174,2.445+-0.858,0.463+-0.044,0.888+-0.077,0.463+-0.044,0.364+-0.021,0.418+-0.074
6,1.915+-0.125,2.138+-0.159,0.424+-0.029,0.919+-0.01,0.424+-0.029,0.337+-0.048,0.435+-0.037
7,1.9+-0.106,2.682+-0.465,0.329+-0.054,0.917+-0.023,0.329+-0.054,0.317+-0.042,0.316+-0.099
8,1.764+-0.087,2.282+-0.38,0.424+-0.023,0.912+-0.031,0.424+-0.023,0.355+-0.036,0.406+-0.035
9,1.677+-0.198,3.133+-1.152,0.357+-0.065,0.837+-0.104,0.357+-0.065,0.346+-0.025,0.343+-0.077
10,1.847+-0.267,2.411+-0.103,0.412+-0.047,0.919+-0.022,0.412+-0.047,0.358+-0.044,0.391+-0.036
11,1.999+-0.411,3.233+-0.74,0.365+-0.068,0.855+-0.076,0.365+-0.068,0.321+-0.004,0.331+-0.076
12,1.914+-0.162,3.159+-0.474,0.387+-0.077,0.855+-0.026,0.387+-0.077,0.353+-0.06,0.344+-0.046
13,1.974+-0.366,2.666+-0.444,0.41+-0.075,0.922+-0.035,0.41+-0.075,0.348+-0.077,0.397+-0.093
14,1.852+-0.074,3.227+-1.14,0.355+-0.109,0.871+-0.07,0.355+-0.109,0.342+-0.083,0.348+-0.13
15,1.944+-0.435,2.484+-0.168,0.421+-0.088,0.945+-0.013,0.421+-0.088,0.393+-0.025,0.425+-0.082
16,1.821+-0.107,2.159+-0.019,0.441+-0.023,0.931+-0.022,0.441+-0.023,0.395+-0.012,0.426+-0.019
17,1.672+-0.15,2.626+-0.818,0.429+-0.078,0.9+-0.065,0.429+-0.078,0.368+-0.06,0.401+-0.098
