epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.034,0.066,0.005,0.089,0.005,0.005,0.006,
1,0.061,0.044,0.015,0.077,0.015,0.012,0.01,
2,0.08,0.067,0.057,0.097,0.057,0.022,0.068,
3,0.071,0.158,0.144,0.082,0.144,0.051,0.149,
4,0.124,0.188,0.103,0.064,0.103,0.043,0.086,
5,0.116,0.115,0.054,0.07,0.054,0.028,0.058,
6,0.228,0.073,0.006,0.093,0.006,0.011,0.036,
7,0.015,0.195,0.062,0.089,0.062,0.055,0.033,
8,0.148,0.244,0.085,0.198,0.085,0.025,0.073,
9,0.111,0.286,0.098,0.083,0.098,0.02,0.063,
10,0.218,0.379,0.167,0.071,0.167,0.092,0.156,
11,0.193,0.257,0.105,0.037,0.105,0.032,0.064,
12,0.047,0.125,0.045,0.082,0.045,0.048,0.025,
13,0.125,0.37,0.035,0.082,0.035,0.05,0.057,
14,0.13,0.444,0.111,0.088,0.111,0.048,0.11,
15,0.028,0.231,0.029,0.071,0.029,0.065,0.046,
16,0.1,0.096,0.034,0.036,0.034,0.078,0.053,
17,0.253,0.104,0.039,0.034,0.039,0.043,0.054,
18,0.191,0.21,0.069,0.02,0.069,0.027,0.082,
19,0.046,0.146,0.035,0.028,0.035,0.048,0.043,
20,0.091,0.273,0.064,0.057,0.064,0.042,0.069,
21,0.142,0.317,0.101,0.066,0.101,0.063,0.104,
22,0.183,0.164,0.038,0.04,0.038,0.074,0.04,
23,0.161,0.128,0.069,0.019,0.069,0.05,0.06,
24,0.068,0.208,0.069,0.039,0.069,0.046,0.071,
25,0.135,0.497,0.081,0.033,0.081,0.055,0.129,
26,0.183,0.372,0.052,0.053,0.052,0.055,0.072,
27,0.215,0.325,0.043,0.055,0.043,0.058,0.049,
28,0.147,0.245,0.02,0.046,0.02,0.058,0.036,
29,0.142,0.345,0.045,0.043,0.045,0.063,0.063,
30,0.14,0.588,0.04,0.055,0.04,0.07,0.05,
31,0.297,0.364,0.027,0.038,0.027,0.04,0.032,
32,0.069,0.226,0.04,0.032,0.04,0.008,0.043,
33,0.207,0.499,0.08,0.044,0.08,0.047,0.128,
34,0.234,0.529,0.091,0.028,0.091,0.071,0.143,
35,0.195,0.406,0.055,0.031,0.055,0.053,0.062,
36,0.479,0.347,0.015,0.027,0.015,0.035,0.005,
37,0.028,0.464,0.058,0.042,0.058,0.044,0.073,
38,0.187,0.662,0.065,0.07,0.065,0.061,0.082,
39,0.249,0.565,0.017,0.031,0.017,0.052,0.043,
40,0.075,0.09,0.067,0.02,0.067,0.028,0.06,
41,0.072,0.108,0.05,0.059,0.05,0.027,0.071,
42,0.176,0.296,0.011,0.072,0.011,0.043,0.038,
43,0.194,0.517,0.062,0.049,0.062,0.057,0.086,
44,0.267,0.47,0.064,0.024,0.064,0.055,0.074,
