epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.140,1.972,0.288,0.813,0.288,0.258,0.284,"[0.323, 0.437, 0.176, 0.232, 0.303, 0.171, 0.292, 0.375, 0.108, 0.166]"
01,1.354,1.458,0.455,0.955,0.455,0.420,0.451,"[0.419, 0.402, 0.577, 0.602, 0.336, 0.414, 0.376, 0.479, 0.24, 0.353]"
02,0.872,1.249,0.540,0.963,0.540,0.496,0.544,"[0.451, 0.605, 0.612, 0.513, 0.435, 0.498, 0.601, 0.476, 0.399, 0.368]"
03,0.736,1.135,0.575,0.980,0.575,0.531,0.580,"[0.604, 0.663, 0.56, 0.647, 0.426, 0.53, 0.539, 0.463, 0.397, 0.485]"
04,0.694,1.296,0.558,0.971,0.558,0.508,0.570,"[0.358, 0.604, 0.651, 0.653, 0.377, 0.527, 0.544, 0.488, 0.445, 0.429]"
05,0.612,1.208,0.584,0.975,0.584,0.545,0.592,"[0.532, 0.675, 0.634, 0.612, 0.514, 0.559, 0.59, 0.503, 0.351, 0.478]"
06,0.606,1.134,0.603,0.982,0.603,0.562,0.607,"[0.516, 0.655, 0.634, 0.684, 0.552, 0.583, 0.571, 0.474, 0.454, 0.5]"
07,0.542,1.215,0.585,0.977,0.585,0.542,0.593,"[0.444, 0.668, 0.667, 0.608, 0.519, 0.577, 0.602, 0.493, 0.363, 0.478]"
08,0.436,1.134,0.601,0.982,0.601,0.560,0.602,"[0.51, 0.639, 0.667, 0.684, 0.557, 0.565, 0.57, 0.509, 0.398, 0.5]"
09,0.491,1.176,0.594,0.980,0.594,0.551,0.601,"[0.479, 0.681, 0.684, 0.611, 0.533, 0.569, 0.623, 0.465, 0.375, 0.483]"
10,0.484,1.117,0.605,0.983,0.605,0.553,0.612,"[0.45, 0.669, 0.684, 0.663, 0.557, 0.574, 0.608, 0.529, 0.371, 0.42]"
11,0.430,1.149,0.592,0.981,0.592,0.551,0.589,"[0.498, 0.664, 0.684, 0.683, 0.531, 0.57, 0.516, 0.474, 0.407, 0.483]"
12,0.454,1.149,0.616,0.981,0.616,0.562,0.618,"[0.475, 0.692, 0.667, 0.606, 0.526, 0.556, 0.661, 0.556, 0.417, 0.463]"
13,0.394,1.147,0.603,0.981,0.603,0.553,0.611,"[0.529, 0.691, 0.703, 0.683, 0.491, 0.585, 0.58, 0.467, 0.346, 0.457]"
14,0.389,1.102,0.622,0.983,0.622,0.560,0.621,"[0.532, 0.694, 0.667, 0.661, 0.462, 0.573, 0.619, 0.517, 0.42, 0.458]"
15,0.343,1.112,0.616,0.981,0.616,0.551,0.619,"[0.475, 0.68, 0.65, 0.692, 0.481, 0.577, 0.598, 0.501, 0.409, 0.444]"
16,0.368,1.225,0.582,0.982,0.582,0.541,0.590,"[0.52, 0.701, 0.667, 0.677, 0.526, 0.571, 0.52, 0.431, 0.358, 0.443]"
17,0.322,1.063,0.632,0.982,0.632,0.569,0.631,"[0.556, 0.707, 0.65, 0.694, 0.5, 0.595, 0.605, 0.51, 0.411, 0.465]"
18,0.324,1.132,0.608,0.982,0.608,0.555,0.611,"[0.56, 0.691, 0.684, 0.678, 0.5, 0.574, 0.584, 0.448, 0.406, 0.427]"
19,0.341,1.212,0.601,0.983,0.601,0.547,0.606,"[0.48, 0.637, 0.667, 0.697, 0.5, 0.562, 0.581, 0.512, 0.364, 0.476]"
20,0.310,1.168,0.609,0.979,0.609,0.561,0.616,"[0.533, 0.699, 0.703, 0.675, 0.481, 0.579, 0.593, 0.444, 0.424, 0.476]"
21,0.282,1.071,0.635,0.982,0.635,0.573,0.636,"[0.561, 0.684, 0.703, 0.698, 0.44, 0.59, 0.632, 0.508, 0.408, 0.505]"
22,0.313,1.169,0.612,0.983,0.612,0.559,0.619,"[0.46, 0.698, 0.703, 0.68, 0.509, 0.564, 0.602, 0.522, 0.376, 0.472]"
23,0.361,1.103,0.631,0.984,0.631,0.567,0.632,"[0.523, 0.705, 0.703, 0.689, 0.483, 0.563, 0.629, 0.513, 0.391, 0.472]"
24,0.282,1.102,0.635,0.981,0.635,0.568,0.638,"[0.517, 0.701, 0.667, 0.697, 0.449, 0.565, 0.636, 0.533, 0.425, 0.489]"
25,0.284,1.149,0.619,0.983,0.619,0.559,0.626,"[0.508, 0.71, 0.684, 0.685, 0.5, 0.553, 0.623, 0.477, 0.386, 0.462]"
26,0.268,1.073,0.639,0.984,0.639,0.580,0.640,"[0.559, 0.706, 0.703, 0.698, 0.48, 0.576, 0.63, 0.536, 0.42, 0.489]"
27,0.275,1.100,0.636,0.981,0.636,0.576,0.639,"[0.54, 0.708, 0.703, 0.69, 0.483, 0.58, 0.641, 0.501, 0.424, 0.489]"
28,0.270,1.123,0.625,0.981,0.625,0.571,0.631,"[0.535, 0.706, 0.684, 0.694, 0.536, 0.591, 0.613, 0.471, 0.415, 0.469]"
29,0.275,1.096,0.629,0.983,0.629,0.563,0.631,"[0.494, 0.7, 0.667, 0.695, 0.471, 0.564, 0.626, 0.497, 0.41, 0.505]"
30,0.224,1.196,0.601,0.983,0.601,0.549,0.603,"[0.486, 0.691, 0.667, 0.697, 0.508, 0.557, 0.549, 0.472, 0.364, 0.5]"
31,0.271,1.109,0.638,0.982,0.638,0.557,0.639,"[0.492, 0.669, 0.629, 0.685, 0.449, 0.58, 0.673, 0.506, 0.438, 0.45]"
32,0.274,1.223,0.605,0.979,0.605,0.555,0.605,"[0.541, 0.701, 0.667, 0.691, 0.449, 0.583, 0.537, 0.461, 0.411, 0.511]"
33,0.267,1.084,0.642,0.984,0.642,0.575,0.643,"[0.525, 0.689, 0.703, 0.696, 0.517, 0.565, 0.67, 0.506, 0.387, 0.494]"
34,0.294,1.404,0.560,0.981,0.560,0.531,0.550,"[0.524, 0.688, 0.667, 0.679, 0.48, 0.544, 0.394, 0.442, 0.375, 0.516]"
35,0.301,1.127,0.648,0.982,0.648,0.566,0.643,"[0.516, 0.665, 0.667, 0.693, 0.453, 0.553, 0.692, 0.493, 0.409, 0.515]"
36,0.251,1.311,0.579,0.979,0.579,0.539,0.579,"[0.471, 0.697, 0.684, 0.673, 0.449, 0.525, 0.496, 0.47, 0.411, 0.515]"
37,0.245,1.121,0.648,0.984,0.648,0.574,0.645,"[0.535, 0.654, 0.684, 0.696, 0.508, 0.571, 0.695, 0.487, 0.399, 0.514]"
38,0.247,1.262,0.599,0.981,0.599,0.555,0.601,"[0.505, 0.688, 0.703, 0.652, 0.491, 0.577, 0.572, 0.474, 0.403, 0.485]"
39,0.236,1.122,0.640,0.982,0.640,0.572,0.638,"[0.531, 0.645, 0.667, 0.695, 0.508, 0.583, 0.67, 0.502, 0.41, 0.505]"
40,0.261,1.159,0.623,0.983,0.623,0.557,0.624,"[0.491, 0.701, 0.703, 0.673, 0.517, 0.571, 0.621, 0.52, 0.408, 0.359]"
41,0.227,1.122,0.633,0.984,0.633,0.567,0.636,"[0.52, 0.699, 0.703, 0.688, 0.508, 0.568, 0.648, 0.506, 0.372, 0.455]"
42,0.207,1.179,0.620,0.981,0.620,0.560,0.623,"[0.491, 0.671, 0.667, 0.698, 0.517, 0.582, 0.608, 0.501, 0.403, 0.462]"
43,0.226,1.122,0.633,0.983,0.633,0.567,0.635,"[0.51, 0.699, 0.684, 0.687, 0.491, 0.572, 0.643, 0.486, 0.412, 0.481]"
44,0.214,1.146,0.626,0.981,0.626,0.566,0.628,"[0.509, 0.698, 0.703, 0.693, 0.491, 0.566, 0.617, 0.49, 0.42, 0.474]"
45,0.206,1.133,0.631,0.982,0.631,0.562,0.633,"[0.503, 0.687, 0.629, 0.704, 0.509, 0.57, 0.63, 0.511, 0.377, 0.505]"
46,0.208,1.153,0.623,0.982,0.623,0.556,0.627,"[0.5, 0.691, 0.629, 0.691, 0.491, 0.57, 0.623, 0.493, 0.399, 0.477]"
47,0.206,1.126,0.633,0.981,0.633,0.564,0.635,"[0.514, 0.69, 0.649, 0.697, 0.481, 0.575, 0.64, 0.496, 0.411, 0.483]"
48,0.189,1.148,0.631,0.980,0.631,0.565,0.634,"[0.521, 0.688, 0.667, 0.702, 0.458, 0.565, 0.631, 0.501, 0.426, 0.489]"
49,0.182,1.157,0.628,0.981,0.628,0.571,0.629,"[0.514, 0.681, 0.703, 0.684, 0.491, 0.566, 0.634, 0.515, 0.418, 0.505]"
